"<ID>";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: te figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"N2 =: V1-inf W";"N2 =: si P";"Exemple"
"202";"comment";"il";"+";"-";"-";"-";"-";"-";"-";"se";"fait ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"comment il§se fait§?"
"203";"<E>";"guère";"+";"+";"-";"-";"-";"-";"+";"ne s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"guère§ne s'en falloir§"
"204";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir";"à";"<E>";"<E>";"+";"-";"<E>";"+";"+";"-";"+";"-";"-";"Il faut à Paul que son prof soit sévère"
"205";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"<E>";"<E>";"-";"+";"pour";"-";"-";"-";"+";"-";"-";"Il s'en ait fallu de trois secondes pour que le batte"
"206";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"<E>";"beaucoup";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§s'en falloir§de beaucoup "
"207";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"un";"cheveu";"-";"-";"<E>+pour";"-";"-";"-";"+";"-";"-";"Il s'en est fallu d'un cheveu (E+pour) que Léa s'en aille"
"208";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir";"<E>";"<E>";"croire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§falloir§croire "
"209";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir";"<E>";"<E>";"dire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§falloir§dire "
"210";"<E>";"il";"+";"+";"-";"-";"-";"-";"+";"ne s'en";"falloir";"<E>";"<E>";"guère";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ne s'en falloir§guère "
"211";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"<E>";"peu";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§s'en falloir§de peu "
"212";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"un";"poil";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§s'en falloir§d'un poil "
"213";"<E>";"il";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"de";"un";"rien";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"Il s'en ait fallu d'un rien que Marie ait réussi"
"214";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir";"<E>";"<E>";"savoir";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§falloir§sa "
"215";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir";"<E>";"<E>";"voir";"-";"-";"à";"-";"-";"-";"+";"-";"-";"il§falloir§voir à "
"216";"<E>";"loin";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"loin§s'en falloir§"
"217";"<E>";"peu";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"peu§s'en falloir§"
"218";"un";"poil";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"un poil§s'en falloir§"
"219";"<E>";"point";"+";"+";"-";"-";"-";"-";"+";"ne s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"point§ne s'en falloir§"
"220";"<E>";"tant";"+";"+";"-";"-";"-";"-";"-";"s'en";"falloir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"tant§s'en falloir§"
"221";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas";"<E>";"<E>";"croire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§ne falloir pas§croire "
"222";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas";"<E>";"avoir";"fait l'X";"-";"-";"pour";"-";"-";"+";"-";"-";"-";"il§ne falloir pas§a fait l'X pour "
"223";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas";"<E>";"être";"sorcier";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§ne falloir pas§est sorcier pour "
"224";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas être";"<E>";"grand";"clerc";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§ne falloir pas est§grand clerc pour "
"225";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas être";"<E>";"grand";"devin";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§ne falloir pas est§grand devin pour "
"226";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"falloir pas grand chose";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"il§ne falloir pas grand chose§à pour "
"227";"<E>";"il";"-";"+";"-";"-";"-";"-";"+";"n'en";"falloir pas plus";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"il§n'en falloir pas plus§à pour "
"228";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir peu de chose";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"il§falloir peu de chose§à pour "
"229";"<E>";"il";"-";"+";"-";"-";"-";"-";"-";"en";"falloir plus";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"il§en falloir plus§à pour "
"230";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir se lever";"de";"bonne";"heure";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§falloir se lever§de bonne heure pour "
"231";"<E>";"encore";"-";"-";"-";"-";"-";"-";"-";"<E>";"falloir-il";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"encore§falloir-il§"
"232";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"faudrait";"<E>";"<E>";"savoir !";"-";"-";"<E>";"-";"-";"-";"-";"-";"+";"il§faudrait§sa! "
"233";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"faudrait pas";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ne faudrait pas§"
"234";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"faut-il ?";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"que§faut-il§?à "
"235";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"ferait";"<E>";"beau";"voir";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ferait§beau voir "
"236";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"ferait mal";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"cela§ferait mal§à "
"237";"<E>";"je";"-";"+";"-";"-";"+";"-";"-";"t'en";"fiche";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§t'en fiche§"
"238";"<E>";"je";"-";"+";"-";"-";"-";"+";"-";"vous en";"fiche";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§vous en fiche§"
"239";"<E>";"je";"-";"+";"-";"-";"+";"-";"-";"t'en";"fous";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§t'en fous§"
"240";"<E>";"je";"-";"+";"-";"-";"-";"+";"-";"vous en";"fous";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"je§vous en fous§"
"241";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"garde";"<E>";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"+";"Dieu§garde§de "
"242";"<E>";"peu";"-";"-";"-";"-";"-";"-";"-";"<E>";"importer";"à";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"+";"peu§importer§à "
"243";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"importer";"à";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"+";"qu'§importer§à "
"244";"les";"circonstances";"-";"-";"-";"-";"-";"-";"-";"<E>";"imposer";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"les circonstances§imposer§à "
"245";"Det";"responsabilité";"-";"-";"-";"-";"-";"-";"-";"<E>";"incomber";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"un responsabilité§incomber§à de "
"246";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"indiquer";"à";"<E>";"<E>";"+";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§indiquer§à "
"247";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"n'";"interdire";"de";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§n'interdire§de croire "
"248";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"n'";"interdire";"de";"<E>";"penser";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§n'interdire§de penser "
"249";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"laisser";"<E>";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§laisser§croire "
"250";"les";"mots";"-";"-";"-";"-";"-";"-";"-";"<E>";"manquer";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"les mots§manquer§à pour "
"251";"la";"voix";"-";"-";"-";"-";"-";"-";"-";"<E>";"manquer";"à";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"+";"+";"-";"la voix§manquer§à pour "
"252";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"manquer pas";"de";"<E>";"<E>";"+";"-";"pour";"-";"-";"-";"-";"+";"-";"il§ne manquer pas§de pour "
"253";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"manquerait plus";"<E>";"<E>";"<E>";"-";"-";"<E>";"+";"+";"-";"+";"-";"-";"Il ne manquerait plus que Paul arrive"
"254";"<E>";"il";"-";"-";"-";"-";"-";"-";"+";"ne";"manquerait plus";"<E>";"que";"ça";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ne manquerait plus§que ça "
"255";"les";"larmes";"-";"-";"-";"-";"-";"-";"-";"<E>";"monter";"à";"les";"yeux de Nhum";"-";"-";"de";"-";"-";"-";"+";"+";"-";"les larmes§monter§aux yeux de Nhum de "
"256";"le";"avenir";"-";"-";"-";"-";"-";"-";"-";"<E>";"montrer";"<E>";"<E>";"<E>";"+";"-";"à";"-";"-";"-";"-";"-";"+";"l'avenir§montrer§à "
"257";"la";"expérience";"-";"-";"-";"-";"-";"-";"-";"<E>";"montrer";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"+";"-";"-";"+";"l'expérience§montrer§"
"258";"Det";"chance";"+";"-";"-";"-";"-";"-";"-";"s'";"offrir";"à";"<E>";"<E>";"-";"-";"de";"-";"-";"-";"-";"+";"-";"un chance§s'offrir§à de "
"259";"Det";"occasion";"+";"-";"-";"-";"-";"-";"-";"s'";"offrir";"à";"<E>";"<E>";"-";"-";"de";"-";"-";"-";"-";"+";"-";"un occasion§s'offrir§à de "
"260";"Det";"opportunité";"+";"-";"-";"-";"-";"-";"-";"s'";"offrir";"à";"<E>";"<E>";"-";"-";"de";"-";"-";"-";"-";"+";"-";"un opportunité§s'offrir§à de "
"261";"Det";"possibilité";"+";"-";"-";"-";"-";"-";"-";"s'";"offrir";"à";"<E>";"<E>";"-";"-";"de";"-";"-";"-";"-";"+";"-";"un possibilité§s'offrir§à de "
"262";"<E>";"rien";"+";"-";"-";"-";"-";"-";"+";"ne s'";"opposer";"<E>";"<E>";"<E>";"-";"-";"à";"-";"-";"-";"+";"-";"-";"rien§ne s'opposer§à "
"263";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"paraître";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"+";"-";"-";"-";"Il paraît à Max que Luc est parti"
"264";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"paraître";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"Il paraît que tu as vu Ida"
"265";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"pardonne";"<E>";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"+";"Dieu§pardonne§de "
"266";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"paries-tu ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"que§paries-tu§?"
"267";"<E>";"que";"-";"-";"-";"-";"-";"-";"-";"<E>";"pariez-vous ?";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"que§pariez-vous§?"
"268";"<E>";"tu";"-";"-";"-";"-";"-";"-";"-";"<E>";"parles";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"-";"-";"+";"tu§parles§"
"269";"<E>";"vous";"-";"-";"-";"-";"-";"-";"-";"<E>";"parlez";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"-";"-";"+";"vous§parlez§"
"270";"pas un";"Ntps";"+";"-";"-";"-";"-";"-";"+";"ne se";"passer";"<E>";"<E>";"<E>";"-";"-";"sans";"-";"-";"-";"+";"-";"-";"pas un Ntps§ne se passer§sans "
"271";"les";"choses";"+";"-";"-";"-";"-";"-";"-";"se";"passer";"<E>";"<E>";"<E>";"-";"-";"comme";"-";"-";"-";"-";"-";"+";"les choses§se passer§comme "
"272";"Det";"désir";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"un désir§passer§à de "
"273";"de la";"eau";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"sous";"les";"ponts";"-";"-";"avant";"-";"-";"-";"+";"+";"-";"de l'eau§passer§sous les ponts avant "
"274";"Det";"envie";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"un envie§passer§à de "
"275";"la";"heure";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'heure§passer§pour "
"276";"pas un";"jour";"+";"-";"-";"-";"-";"-";"+";"ne se";"passer";"<E>";"<E>";"<E>";"-";"-";"sans";"-";"-";"-";"+";"-";"-";"pas un jour§ne se passer§sans "
"277";"le";"moment";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le moment§passer§pour "
"278";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"passer";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le temps§passer§pour "
"279";"<E>";"tout";"+";"-";"-";"-";"-";"-";"-";"se";"passer";"<E>";"<E>";"<E>";"-";"-";"comme";"-";"-";"-";"-";"-";"+";"tout§se passer§comme "
"280";"<E>";"il";"+";"-";"-";"-";"-";"-";"+";"ne se";"passer pas";"de";"<E>";"Ntps";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ne se passer pas§de Ntps "
"281";"<E>";"il";"+";"-";"-";"-";"-";"-";"+";"ne se";"passer pas";"de";"<E>";"jour";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§ne se passer pas§de jour "
"282";"quand";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"pense !";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"quand je§pense§!"
"283";"quand";"on";"-";"-";"-";"-";"-";"-";"-";"<E>";"pense !";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"quand on§pense§!"
"284";"quand";"on";"-";"-";"-";"-";"-";"-";"-";"<E>";"pense!";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"quand on§pense§!"
"285";"<E>";"tu";"-";"-";"-";"-";"-";"-";"-";"<E>";"penses";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"-";"-";"+";"tu§penses§"
"286";"quand";"tu";"-";"-";"-";"-";"-";"-";"-";"<E>";"penses !";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"quand tu§penses§!"
"287";"<E>";"vous";"-";"-";"-";"-";"-";"-";"-";"<E>";"pensez";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"-";"-";"-";"+";"vous§pensez§"
"288";"quand";"vous";"-";"-";"-";"-";"-";"-";"-";"<E>";"pensez !";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"quand vous§pensez§!"
"289";"le";"emploi du temps de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"permettre";"à";"<E>";"<E>";"+";"-";"de";"-";"+";"-";"+";"+";"-";"l'emploi du temps de Nhum§permettre§à de "
"290";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"permettre";"de";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§ne permettre§de croire "
"291";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"permettre";"de";"<E>";"dire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§ne permettre§de dire "
"292";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"permettre";"de";"<E>";"douter";"-";"-";"de";"-";"+";"+";"-";"-";"-";"rien§ne permettre§de douter de "
"293";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"permettre";"de";"<E>";"indiquer";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§ne permettre§d'indiquer "
"294";"<E>";"rien";"-";"-";"-";"-";"-";"-";"+";"ne";"permettre";"de";"<E>";"penser";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"rien§ne permettre§de penser "
"295";"comment";"ça";"+";"-";"-";"-";"-";"-";"-";"se";"peut";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"comment ça§se peut§"
"296";"comment";"ça";"-";"-";"-";"-";"-";"-";"-";"<E>";"peut";"<E>";"se";"faire ?";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"comment ça§peut§se fait ? "
"297";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"porter";"à";"<E>";"croire";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§porter§à croire "
"298";"<E>";"tout";"-";"-";"-";"-";"-";"-";"-";"<E>";"porter";"à";"<E>";"penser";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"tout§porter§à penser "
"299";"le";"ciel";"-";"-";"-";"-";"-";"-";"-";"<E>";"pouvoir";"<E>";"<E>";"s'écrouler";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"le ciel§pouvoir§s'écrouler "
"300";"le";"ciel";"-";"-";"-";"-";"-";"-";"-";"<E>";"pouvoir";"<E>";"<E>";"s'effondrer";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"le ciel§pouvoir§s'effondrer "
"301";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"pouvoir";"<E>";"se";"faire";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§pouvoir§se fait "
"302";"comment";"il";"+";"-";"-";"-";"-";"-";"-";"se";"pouvoir";"<E>";"<E>";"faire ?";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"comment il§se pouvoir§fait ? "
