"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"1";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"<E>";"<E>";"<E>";"ça";"fait";"<E>";"deux";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§<E>§ça fait deux "
"2";"et";"mon";"cul";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"<E>";"<E>";"<E>";"ce";"est";"du";"poulet ?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"et mon cul§<E>§c'est du poulet ? "
"3";"à";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"égal";"<E>";"<E>";"<E>";"<E>";"<E>";"égal";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"à§<E>§égal égal "
"4";"<E>";"un";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"de";"perdu";"<E>";"<E>";"dix";"<E>";"de";"retrouvés";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"un§<E>§de perdu dix de retrouvés "
"5";"de";"deux";"choses";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"la";"une";"ou";"<E>";"<E>";"<E>";"ou";"P";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"de deux choses§<E>§l'une ou ou P "
"6";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" P";"<E>";"<E>";"et";"<E>";"<E>";"de V-inf W";"<E>";"<E>";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§P§et de V-inf W "
"7";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V";"<E>";"W";"pour";"<E>";"<E>";"V-inf";"W";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§V§W pour V-inf W "
"8";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf W";"<E>";"<E>";"pourquoi";"<E>";"<E>";"faire";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§V-inf W§pourquoi fait "
"9";"pour";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf";"<E>";"W";"<E>";"<E>";"<E>";"V";"W";"<E>";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"pour§V-inf§W V W "
"10";"pourquoi";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf";"<E>";"W";"quand";"<E>";"on";"peut";"<E>";"V-inf W ?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pourquoi§V-inf§W quand on peut V-inf W ? "
"11";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"-";"y";" a";"<E>";"mieux";"mais";"<E>";"ce";"est";"plus";"cher";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y a§mieux mais c'est plus cher "
"12";"<E>";"<E>";"il";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"<E>";"<E>";"<E>";"je te";"jure !";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y en a§je te jure! "
"13";"<E>";"<E>";"il";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"<E>";"<E>";"<E>";"je vous";"jure !";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y en a§je vous jure! "
"14";"quand";"<E>";"<E>";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"plus";"<E>";"<E>";"<E>";"y en a";"<E>";"encore";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"quand§y en a§plus y en a encore "
"15";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" a pas V W";"Dnum";"fois";"<E>";"<E>";"Il-0";"n'a pas V W-0";"Dnum";"fois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si§n'a pas V W§Dnum fois il n'a pas V W-0 Dnum fois "
"16";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" aimer pas";"<E>";"<E>";"que";"<E>";"Il-0";"n'en dégoûte pas";"les";"autres";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"si§n'aimer pas§qu'il n'en dégoûte pas les autres "
"17";"<E>";"<E>";"je";"-";"-";"-";"-";"-";"-";"<E>";" aimerais mieux Nhum";"tout";"habillé dans mon lit";"que";"<E>";"toi";"<E>";"à";"poil";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"j'§aimerais mieux Nhum§tout habillé dans mon lit que toi à poil "
"18";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" aller pas";"dire";"après";"que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§n'aller pas§dire après que "
"19";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" allez voir";"<E>";"là-bas";"si";"<E>";"je";"y suis";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§allez voir§là-bas si j'y suis "
"20";"où";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" allons-nous";"<E>";"<E>";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"où§allons-nous§si "
"21";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" as-tu dit";"à";"<E>";"que";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"que§n'as-tu dit§à que "
"22";"<E>";"la";"face du monde";"-";"-";"-";"-";"-";"-";"<E>";" aurait";"été";"changée";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"la face du monde§aurait§été changée si "
"23";"<E>";"les";"poules";"-";"-";"-";"-";"-";"-";"<E>";" auront";"des";"dents";"quand";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"les poules§auront§des dents quand "
"24";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"-";"y";" avoir";"<E>";"mieux";"mais";"<E>";"ce";"être";"plus";"cher";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y a§mieux mais c'est plus cher "
"25";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§"
"26";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"dire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§dire "
"27";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"faire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§fait "
"28";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau dire";"beau";"faire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau dire§beau fait "
"29";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir pas";"un";"N";"pour";"<E>";"<E>";"racheter";"le";"autre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§n'y a pas§un N pour racheter l'autre "
"30";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir plus";"<E>";"personne";"quand";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§n'y a plus§personne quand "
"31";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" avoir que";"une";"hâte";"c'est";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§n'a que§une hâte c'est "
"32";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" avoir que";"à";"voir";"comme";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§n'a que§à voir comme "
"33";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir que";"un";"pas";"de là à ce que";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"il§n'y a que§un pas de là à ce que "
"34";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir que";"un";"pas à franchir";"de là à ce que";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"il§n'y a que§un pas à franchir de là à ce que "
"35";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir que";"à";"se baisser";"pour";"<E>";"<E>";"les prendre";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§n'y a que§à se baisser pour les prendre "
"36";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir que";"à";"se baisser";"pour";"<E>";"<E>";"les ramasser";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§n'y a que§à se baisser pour les ramasser "
"37";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir que";"à";"voir";"comment";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§n'y a que§à voir comment "
"38";"que";"<E>";"Dieu";"-";"-";"-";"-";"+";"-";"vous";" bénisse";"<E>";"<E>";"et";"<E>";"<E>";"vous fasse";"le";"nez comme j'ai la cuisse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que Dieu§vous bénisse§et vous fasse le nez comme j'ai la cuisse "
"39";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" cause";"<E>";"toujours";"<E>";"<E>";"tu";"m'intéresses";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§cause§toujours tu m'intéresses "
"40";"<E>";"<E>";"tu";"-";"-";"-";"-";"-";"-";"<E>";" causes";"<E>";"<E>";"<E>";"<E>";"ce";"est";"tout ce";"que tu sais faire";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"tu§causes§c'est tout ce que tu sais fait "
"41";"plus";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" change";"<E>";"<E>";"plus";"<E>";"ce";"est";"la même";"chose";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"plus ça§change§plus c'est la même chose "
"42";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" chanter";"<E>";"<E>";"alors";"<E>";"Il-0";"va faire";"<E>";"pleuvoir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si§chanter§alors il va fait pleuvoir "
"43";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" chanter";"<E>";"<E>";"alors";"<E>";"Il-0";"fera";"<E>";"pleuvoir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si§chanter§alors il fera pleuvoir "
"44";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" chercher";"<E>";"<E>";"<E>";"<E>";"Il-0";"trouver";"<E>";"li-1";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"si§chercher§il trouver li-1 "
"45";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" comprendre";"<E>";"vite";"mais";"<E>";"il";"falloir li-0";"<E>";"longtemps";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§comprendre§vite mais il falloir li-0 longtemps "
"46";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" compte";"<E>";"dessus";"et";"<E>";"<E>";"bois";"de la";"eau";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§compte§dessus et bois de l'eau "
"47";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" connaît";"<E>";"<E>";"comme si";"<E>";"Il-0";"l'avait fait";"<E>";"<E>";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§connaît§comme si il l'avait fait "
"48";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" continue";"<E>";"toujours";"<E>";"<E>";"tu me";"intéresses";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§continue§toujours tu me intéresses "
"49";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"se";" demander";"<E>";"<E>";"si";"<E>";"ce";"être";"du";"lard ou du cochon";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§se demander§si c'est du lard ou du cochon "
"50";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" demander bien pardon";"à";"<E>";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§demander bien pardon§à mais "
"51";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"ne";" demander Nég mieux";"<E>";"<E>";"que de";"<E>";"V-inf-0 W";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§ne demander Nég mieux§que de V-inf-0 W "
"52";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" descendez";"<E>";"<E>";"<E>";"<E>";"on";"vous demande";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§descendez§on vous demande "
"53";"<E>";"<E>";"on";"-";"-";"-";"-";"-";"-";"<E>";" devient";"<E>";"Nprofession";"mais";"<E>";"on";"naît";"<E>";"Nprofession";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"on§devient§Nprofession mais on naît Nprofession "
"54";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" devoir se lever";"de";"bonne heure";"pour que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"§devoir se lever§de bonne heure pour que "
"55";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" dira";"ce que";"Il-0 voudra";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§dira§ce qu'il voudra mais "
"56";"quand";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" dire";"<E>";"blanc";"<E>";"<E>";"<E>";"dire";"<E>";"noir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"quand§dire§blanc dire noir "
"57";"tantôt";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" dire";"<E>";"blanc";"tantôt";"<E>";"Il-0";"dit";"<E>";"noir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"tantôt§dire§blanc tantôt il dit noir "
"58";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"ne";" dire";"<E>";"rien";"mais";"<E>";"Il-0";"n'en penser pas";"<E>";"moins";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§ne dire§rien mais il n'en penser pas moins "
"59";"<E>";"<E>";"ça";"+";"-";"-";"-";"-";"-";"se";" dit";"<E>";"<E>";"et";"<E>";"ça";"V W";"<E>";"<E>";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"ça§se dit§et ça V W "
"60";"quand";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" dit";"à";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"quand§dit§à "
"61";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" donne";"d'une";"main";"et";"<E>";"<E>";"reprend";"de la";"autre";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§donne§d'une main et reprend de l'autre "
"62";"<E>";"<E>";"on";"-";"-";"-";"-";"-";"-";"<E>";" efface";"<E>";"tout";"et";"<E>";"on";"recommence";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"on§efface§tout et on recommence "
"63";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" emballez";"<E>";"<E>";"<E>";"<E>";"ce";"est";"<E>";"pesé";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§emballez§c'est pesé "
"64";"et si";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" encore";"<E>";"P";"mais";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"et si§encore§P mais "
"65";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" enlevez";"<E>";"<E>";"<E>";"<E>";"ce";"est";"<E>";"pesé";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§enlevez§c'est pesé "
"66";"<E>";"<E>";"ça";"-";"-";"-";"-";"-";"-";"<E>";" entre";"par une";"oreille";"et";"<E>";"ça";"sort";"par la";"autre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ça§entre§par une oreille et ça sort par l'autre "
"67";"<E>";"un";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" est";"un";"<E>";"et";"un";"<E>";"est";"un";"<E>";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"un§est§un et un est un "
