"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N0 V Prép1 Det1 C1";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2-hum = Ppv";"Exemple"
"215";"+";"-";"-";"+";"-";"-";"en";" être";"à";"le";"point";"de";"-";"+";"-";"+";"+";"-";"-";"-";"§en est§au point de "
"216";"+";"-";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"position";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§est§en position de "
"217";"+";"-";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"posture";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§est§en posture de "
"218";"+";"-";"-";"-";"-";"-";"<E>";" être";"sur";"les";"rangs";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§est§sur les rangs pour "
"219";"+";"-";"-";"-";"-";"-";"<E>";" être";"à";"le";"regret";"de";"-";"-";"+";"+";"+";"-";"-";"+";"§est§au regret de "
"220";"-";"+";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"réponse";"à";"-";"+";"-";"-";"-";"-";"+";"-";"§est§en réponse à "
"221";"-";"+";"-";"-";"-";"-";"<E>";" être";"sous";"<E>";"réserve";"de";"-";"-";"+";"+";"-";"-";"+";"-";"§est§sous réserve de "
"222";"+";"-";"-";"-";"-";"-";"<E>";" être";"comme";"deux";"ronds de flanc";"de";"+";"+";"+";"+";"+";"-";"-";"+";"§est§comme deux ronds de flanc de "
"223";"+";"-";"-";"+";"-";"-";"en";" être";"à";"<E>";"se demander";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§en est§à se demander "
"224";"+";"-";"-";"+";"-";"-";"en";" être";"à";"<E>";"se dire";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§en est§à se dire "
"225";"+";"-";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"situation";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§est§en situation de "
"226";"+";"-";"-";"-";"-";"-";"<E>";" être";"de";"<E>";"stature";"à";"-";"-";"+";"-";"+";"-";"-";"-";"§est§de stature à "
"227";"+";"-";"-";"-";"-";"-";"<E>";" être";"de";"<E>";"taille";"à";"-";"-";"+";"-";"+";"-";"+";"+";"§est§de taille à "
"228";"+";"-";"-";"-";"-";"-";"<E>";" être";"<E>";"tout le";"temps";"à";"-";"-";"-";"-";"+";"-";"-";"-";"§est§tout le temps à "
"229";"+";"-";"-";"-";"-";"-";"<E>";" être";"<E>";"<E>";"toujours";"à";"-";"-";"-";"-";"+";"-";"-";"-";"§est§toujours à "
"230";"+";"-";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"train";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§est§en train de "
"231";"+";"-";"-";"-";"-";"-";"<E>";" être";"à";"la";"veille";"de";"-";"-";"+";"+";"+";"-";"+";"+";"§est§à la veille de "
"232";"-";"+";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"vertu";"de";"-";"+";"-";"-";"-";"-";"+";"-";"§est§en vertu de "
"233";"-";"+";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"violation";"de";"-";"+";"-";"-";"-";"-";"+";"-";"§est§en violation de "
"234";"+";"-";"-";"-";"-";"-";"<E>";" être";"en";"<E>";"voie";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§est§en voie de "
"235";"+";"+";"-";"-";"-";"-";"<E>";" éviter";"<E>";"le";"écueil";"de";"-";"-";"+";"+";"+";"-";"+";"-";"§éviter§l'écueil de "
"236";"+";"-";"-";"-";"-";"-";"<E>";" exceller";"dans";"le";"art";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§exceller§dans l'art de "
"237";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"plus";"Adj";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§plus Adj que "
"238";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"plus";"affreux";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§plus affreux que "
"239";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"ainsi";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§ainsi pour "
"240";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"analogue";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'analogue de "
"241";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"anti-symétrique";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'anti-symétrique de "
"242";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"la";"antithèse";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'antithèse de "
"243";"+";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"beaucoup";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§beaucoup pour "
"244";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"bien";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§fait§bien de "
"245";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"si";"bien";"<E>";"-";"+";"-";"+";"-";"-";"-";"-";"§fait§si bien "
"246";"+";"-";"-";"-";"-";"-";"<E>";" faire";"comme";"<E>";"ça";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§comme ça pour "
"247";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"comment ?";"pour";"+";"-";"+";"-";"+";"-";"-";"-";"§fait§comment ? pour "
"248";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"contraire";"<E>";"-";"-";"-";"-";"+";"+";"+";"-";"§fait§le contraire "
"249";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"correspondant";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§le correspondant de "
"250";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"correspondant";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§le correspondant de "
"251";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"croisade";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§croisade pour "
"252";"+";"-";"-";"-";"-";"-";"<E>";" faire";"dans";"Poss0";"culottes";"de";"+";"-";"-";"-";"+";"-";"-";"+";"§fait§dans sa culottes de "
"253";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"difficultés";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§fait§des difficultés pour "
"254";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"effort";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§fait§un effort pour "
"255";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"efforts";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§fait§des efforts pour "
"256";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"égal";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'égal de "
"257";"+";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"énormément";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§énormément pour "
"258";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"équivalent";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'équivalent de "
"259";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"essai";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§fait§un essai pour "
"260";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"façons";"pour";"+";"-";"-";"-";"+";"-";"-";"-";"§fait§des façons pour "
"261";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"ce qu'il";"falloir";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§fait§ce qu'il falloir pour "
"262";"+";"-";"-";"-";"-";"-";"<E>";" faire";"dans";"Poss0";"falzar";"de";"+";"-";"-";"-";"+";"-";"+";"+";"§fait§dans son falzar de "
"263";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"frais";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§fait§des frais pour "
"264";"+";"-";"-";"-";"-";"-";"<E>";" faire";"dans";"Poss0";"froc";"de";"+";"-";"-";"-";"+";"-";"+";"+";"§fait§dans son froc de "
"265";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"homologue";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'homologue de "
"266";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"impossible";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§fait§l'impossible pour "
"267";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"inverse";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'inverse de "
"268";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"mal";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§fait§mal de "
"269";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"plus";"mal";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§plus mal que "
"270";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"plus";"malin";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§plus malin que "
"271";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"manières";"pour";"+";"-";"-";"-";"+";"-";"-";"-";"§fait§des manières pour "
"272";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"mieux";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§fait§mieux de "
"273";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"mieux";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§mieux que "
"274";"+";"-";"-";"-";"-";"-";"<E>";" faire";"de";"Poss0";"mieux";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§fait§de son mieux pour "
"275";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"mine";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§fait§mine de "
"276";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"nécessaire";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§fait§le nécessaire pour "
"277";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"opposé";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§l'opposé de "
"278";"-";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"oublier";"<E>";"-";"+";"-";"-";"-";"+";"+";"+";"§fait§oublier "
"279";"+";"-";"-";"-";"-";"-";"<E>";" faire";"dans";"Poss0";"pantalon";"de";"+";"-";"-";"-";"+";"-";"+";"+";"§fait§dans son pantalon de "
"280";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"parallèle";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§le parallèle de "
"281";"+";"+";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"peu";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§fait§peu pour "
"282";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"pire";"que";"-";"-";"-";"-";"+";"-";"+";"-";"§fait§pire que "
"283";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"plus";"que";"+";"-";"-";"-";"+";"-";"+";"-";"§fait§plus que "
"284";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"préparatifs";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§fait§des préparatifs pour "
"285";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"un";"saut";"<E>";"-";"-";"-";"-";"+";"-";"-";"+";"§fait§un saut "
"286";"+";"-";"-";"-";"-";"-";"<E>";" faire";"en";"<E>";"sorte";"<E>";"-";"+";"-";"-";"+";"-";"-";"-";"§fait§en sorte "
"287";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"le";"symétrique";"de";"+";"-";"+";"-";"+";"-";"+";"+";"§fait§le symétrique de "
"288";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"une";"tentative";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§fait§une tentative pour "
"289";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"tintin";"pour";"+";"-";"+";"-";"+";"-";"-";"-";"§fait§tintin pour "
"290";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"tout";"pour";"-";"-";"+";"-";"+";"+";"+";"-";"§fait§tout pour "
"291";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"vite";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"§fait§vite pour "
"292";"+";"-";"-";"-";"-";"-";"<E>";" fendre";"<E>";"la";"foule";"<E>";"-";"-";"-";"-";"+";"-";"-";"+";"§fendre§la foule "
"293";"+";"-";"-";"-";"-";"-";"<E>";" ferait";"<E>";"<E>";"bien";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§ferait§bien de "
"294";"+";"-";"-";"-";"-";"-";"<E>";" ferait";"<E>";"aussi";"bien";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§ferait§aussi bien de "
"295";"+";"-";"-";"-";"-";"-";"<E>";" ferait";"<E>";"pas";"mal";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§ferait§pas mal de "
"296";"+";"-";"-";"-";"-";"-";"<E>";" ferait";"<E>";"<E>";"mieux";"de";"-";"-";"-";"-";"+";"-";"-";"-";"§ferait§mieux de "
"297";"+";"-";"-";"-";"-";"-";"<E>";" fiche";"<E>";"le";"camp";"<E>";"-";"-";"-";"-";"+";"-";"-";"-";"§fiche§le camp "
"298";"+";"-";"-";"-";"-";"-";"<E>";" finir";"par";"<E>";"savoir";"<E>";"-";"+";"-";"-";"-";"-";"-";"-";"§finir§par savoir "
"299";"+";"-";"-";"-";"-";"-";"<E>";" former";"<E>";"des";"voeux";"pour";"-";"-";"+";"-";"+";"-";"+";"-";"§former§des voeux pour "
"300";"+";"-";"-";"-";"-";"-";"<E>";" foutre";"<E>";"le";"camp";"<E>";"-";"-";"-";"-";"+";"-";"-";"-";"§foutre§le camp "
"301";"+";"-";"-";"-";"-";"-";"<E>";" invoquer";"<E>";"une";"excuse";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§invoquer§une excuse pour "
"302";"+";"-";"-";"-";"-";"-";"<E>";" invoquer";"<E>";"un";"prétexte";"pour";"-";"-";"+";"-";"+";"-";"-";"-";"§invoquer§un prétexte pour "
"303";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"avec";"la";"idée";"de";"-";"+";"-";"+";"+";"-";"+";"-";"§jouer§avec l'idée de "
"304";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"choir";"<E>";"-";"-";"+";"-";"+";"+";"-";"+";"§laisser§choir "
"305";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"échapper";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§échapper "
"306";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"filer";"<E>";"-";"-";"+";"-";"+";"+";"-";"+";"§laisser§filer "
"307";"+";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"passer";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§passer "
"308";"+";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"présager";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§présager "
"309";"+";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"pressentir";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§pressentir "
"310";"-";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"prévoir";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§prévoir "
"311";"+";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"supposer";"<E>";"-";"+";"-";"-";"-";"-";"+";"-";"§laisser§supposer "
"312";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"tomber";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§tomber "
"313";"+";"+";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"voir";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§laisser§voir "
"314";"+";"-";"-";"-";"-";"+";"ne";" lever";"<E>";"le petit";"doigt";"pour";"+";"-";"+";"-";"+";"+";"+";"-";"§ne lever§le petit doigt pour "
"315";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"des";"gants";"pour";"-";"-";"-";"-";"+";"-";"+";"-";"§mettre§des gants pour "
"316";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Dét";"Ntps";"avant";"-";"-";"+";"-";"+";"-";"-";"-";"§mettre§Dét Ntps avant "
"317";"+";"+";"-";"-";"-";"-";"<E>";" parvenir";"à";"le";"point";"<E>";"-";"+";"-";"-";"-";"-";"+";"-";"§parvenir§au point "
"318";"+";"-";"+";"-";"-";"-";"se";" servir";"de";"les grands";"moyens";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§se servir§des grands moyens pour "
"319";"+";"-";"+";"-";"-";"-";"se";" servir";"de";"les";"moyens du bord";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§se servir§des moyens du bord pour "
"320";"+";"-";"-";"-";"-";"-";"<E>";" soutenir";"<E>";"la";"opinion";"<E>";"-";"+";"-";"-";"-";"-";"-";"-";"§soutenir§l'opinion "
"321";"+";"-";"-";"-";"-";"-";"<E>";" utiliser";"<E>";"les grands";"moyens";"pour";"+";"-";"+";"-";"+";"-";"+";"-";"§utiliser§les grands moyens pour "
"322";"+";"-";"-";"+";"-";"-";"en";" venir";"à";"<E>";"se demander";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"§en venir§à se demander "
