"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"<E>";" accepter";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"répondre";"aux";"questions de Nhum";"-";"-";"§accepter§de répondre aux questions de Nhum "
"2";"+";"-";"-";"-";"-";"-";"<E>";" accepter";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"répondre";"aux";"questions des journalistes";"-";"-";"§accepter§de répondre aux questions des journalistes "
"3";"-";"+";"-";"-";"-";"-";"<E>";" aider";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§aider§à vivre "
"4";"+";"-";"-";"-";"-";"+";"n'";" aimer pas";"-";"+";"-";"à";"le";"coin d'un bois";"-";"-";"rencontrer";"<E>";"<E>";"+";"-";"§n'aimer pas§au coin d'un bois rencontrer "
"5";"+";"-";"-";"-";"-";"-";"<E>";" aimerait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"voir";"<E>";"ça !";"-";"-";"§aimerait§voir ça! "
"6";"+";"-";"-";"-";"-";"-";"<E>";" aimerait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"y voir";"<E>";"<E>";"+";"-";"§aimerait§y voir "
"7";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chercher";"<E>";"<E>";"-";"+";"§aller§chercher "
"8";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chercher";"<E>";"loin";"-";"-";"§aller§chercher loin "
"9";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"planter";"Poss0";"choux";"-";"-";"§aller§planter son choux "
"10";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"quérir";"<E>";"<E>";"+";"+";"§aller§quérir "
"11";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"ravir";"à";"<E>";"+";"-";"§aller§à ravir à "
"12";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"se passer";"<E>";"<E>";"-";"-";"§aller§se passer "
"13";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"se rhabiller";"<E>";"<E>";"-";"-";"§aller§se rhabiller "
"14";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"et";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"-";"-";"§aller§et venir "
"15";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"avec";"une";"fourche";"-";"-";"chercher";"de la";"eau";"-";"-";"§aller§avec une fourche chercher de l'eau "
"16";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"dans";"cette";"galère";"-";"-";"faire";"<E>";"quoi?";"-";"-";"§aller§dans cette galère fait quoi? "
"17";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"+";"ou";"<E>";"ne pouvoir aller";"+";"-";"à";"Poss0";"place";"-";"-";"§aller§ou ne pouvoir aller à sa place "
"18";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"+";"où";"le";"roi";"-";"-";"va";"à";"pied";"-";"-";"§aller§où le roi va à pied "
"19";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"cuire";"un";"oeuf";"-";"-";"§aller§se fait cuire un oeuf "
"20";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"enculer";"chez les";"Grecs";"-";"-";"§aller§se fait enculer chez les Grecs "
"21";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"fiche";"<E>";"<E>";"-";"-";"§aller§se fait fiche "
"22";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"foutre";"<E>";"<E>";"-";"-";"§aller§se fait foutre "
"23";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"pendre";"<E>";"ailleurs";"-";"-";"§aller§se fait pendre ailleurs "
"24";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"voir";"<E>";"<E>";"-";"-";"§aller§se fait voir "
"25";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"voir";"<E>";"ailleurs";"-";"-";"§aller§se fait voir ailleurs "
"26";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"+";"où";"le";"vent";"-";"-";"le pousser";"<E>";"<E>";"-";"-";"§aller§où le vent le pousser "
"27";"-";"+";"+";"-";"-";"-";"s'";" améliorer";"-";"-";"-";"en";"<E>";"<E>";"-";"-";"vieillissant";"<E>";"<E>";"-";"+";"§s'améliorer§en vieillissant "
"28";"+";"-";"+";"-";"-";"-";"s'";" appeler";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"reviens";"<E>";"<E>";"-";"-";"§s'appeler§reviens "
"29";"+";"-";"-";"-";"-";"-";"<E>";" apprendre";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"connaître";"<E>";"<E>";"+";"-";"§apprendre§à connaître "
"30";"+";"-";"-";"-";"-";"-";"<E>";" apprendre";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"se connaître";"avec";"<E>";"+";"-";"§apprendre§à se connaître avec "
"31";"+";"+";"-";"-";"-";"-";"<E>";" apprendre";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"vivre";"à";"<E>";"+";"-";"§apprendre§à vivre à "
"32";"+";"-";"-";"-";"-";"-";"<E>";" arrêter";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"fumer";"<E>";"<E>";"-";"-";"§arrêter§de fumer "
"33";"+";"-";"-";"-";"-";"-";"<E>";" attendre";"-";"-";"-";"que";"les";"alouettes";"-";"-";"tombent";"toutes";"rôties";"-";"-";"§attendre§que les alouettes tombent toutes rôties "
"34";"+";"-";"-";"-";"-";"-";"<E>";" attendre";"-";"-";"-";"que";"la deuxième";"chaussure";"-";"-";"retombe";"<E>";"<E>";"-";"-";"§attendre§que la deuxième chaussure retombe "
"35";"+";"-";"-";"-";"-";"-";"<E>";" aurait";"-";"-";"+";"fait";"mieux";"de";"-";"-";"rester";"<E>";"tranquille";"-";"-";"§aurait§fait mieux de rester tranquille "
"36";"+";"-";"-";"-";"-";"-";"<E>";" aurait";"-";"-";"+";"fait";"mieux";"de";"-";"-";"rester";"<E>";"couché";"-";"-";"§aurait§fait mieux de rester couché "
"37";"+";"-";"-";"-";"-";"-";"<E>";" aurait";"-";"-";"+";"fait";"mieux";"de";"-";"-";"se casser";"une";"jambe";"-";"-";"§aurait§fait mieux de se casser une jambe "
"38";"+";"-";"-";"-";"-";"-";"<E>";" aurait";"-";"-";"+";"fait";"mieux";"de";"-";"-";"se tenir";"<E>";"tranquille";"-";"-";"§aurait§fait mieux de se tenir tranquille "
"39";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"connaître";"de";"<E>";"+";"+";"§avoir§à connaître de "
"40";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"en découdre";"<E>";"<E>";"-";"-";"§avoir§à en découdre "
"41";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"faire";"<E>";"<E>";"-";"-";"§avoir§à fait "
"42";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"-";"+";"<E>";"loin";"à";"-";"-";"aller";"<E>";"<E>";"-";"-";"§avoir§loin à aller "
"43";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"-";"+";"<E>";"quelque chose";"à";"-";"-";"se reprocher";"<E>";"<E>";"-";"-";"§avoir§quelque chose à se reprocher "
"44";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"-";"+";"de";"<E>";"qui";"-";"-";"tenir";"<E>";"<E>";"-";"-";"§avoir§de qui tenir "
"45";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"+";"+";"de";"<E>";"quoi";"-";"-";"faire";"<E>";"<E>";"-";"-";"§avoir§de quoi fait "
"46";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"+";"+";"de";"<E>";"quoi";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§avoir§de quoi vivre "
"47";"+";"-";"-";"-";"-";"-";"<E>";" avoir appris";"-";"-";"-";"<E>";"<E>";"à";"-";"-";"se conduire";"<E>";"où ?";"-";"-";"§avoir appris§à se conduire où ? "
"48";"+";"-";"-";"-";"-";"-";"<E>";" avoir appris";"-";"-";"-";"<E>";"<E>";"à";"-";"-";"vivre";"<E>";"où ?";"-";"-";"§avoir appris§à vivre où ? "
"49";"+";"-";"-";"-";"-";"+";"n'";" avoir plus";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"se mettre";"<E>";"rien";"-";"-";"§n'avoir plus§à se mettre rien "
"50";"+";"-";"-";"-";"-";"+";"n'";" avoir que";"-";"+";"-";"à";"<E>";"bien";"-";"-";"se tenir";"<E>";"<E>";"-";"-";"§n'avoir que§à bien se tenir "
"51";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"mâchoire";"-";"-";"§bailler§à en décrocher sa mâchoire "
"52";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"râtelier";"-";"-";"§bailler§à en décrocher son râtelier "
"53";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"en décrocher";"Poss0";"dentier";"-";"-";"§bailler§à en décrocher son dentier "
"54";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"la";"mâchoire";"-";"-";"§bailler§à s'en décrocher la mâchoire "
"55";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"le";"râtelier";"-";"-";"§bailler§à s'en décrocher le râtelier "
"56";"+";"-";"-";"-";"-";"-";"<E>";" bailler";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"s'en décrocher";"la";"dentier";"-";"-";"§bailler§à s'en décrocher la dentier "
"57";"-";"+";"+";"-";"-";"-";"se";" bonifier";"-";"-";"-";"en";"<E>";"<E>";"-";"-";"vieillissant";"<E>";"<E>";"-";"+";"§se bonifier§en vieillissant "
"58";"+";"-";"-";"-";"-";"-";"<E>";" brûler";"-";"-";"-";"ce";"que";"Il-0";"+";"-";"adorer";"<E>";"<E>";"-";"-";"§brûler§ce qu'il adorer "
"59";"+";"-";"-";"-";"-";"-";"<E>";" cesser";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"fumer";"<E>";"<E>";"-";"-";"§cesser§de fumer "
"60";"+";"-";"+";"-";"-";"-";"se";" chatouiller";"-";"+";"-";"pour";"<E>";"se faire";"-";"-";"rire";"<E>";"<E>";"-";"-";"§se chatouiller§pour se fait rire "
"61";"+";"-";"-";"-";"-";"-";"<E>";" chercher";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"comprendre";"<E>";"<E>";"-";"-";"§chercher§à comprendre "
"62";"+";"-";"-";"-";"-";"-";"<E>";" chercher";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"paraître";"<E>";"<E>";"-";"-";"§chercher§à paraître "
"63";"-";"+";"-";"-";"-";"-";"<E>";" commencer";"-";"+";"-";"à";"<E>";"bien";"-";"-";"faire";"<E>";"<E>";"-";"-";"§commencer§à bien fait "
"64";"+";"-";"-";"-";"-";"-";"<E>";" croire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"rêver";"<E>";"<E>";"-";"-";"§croire§rêver "
"65";"+";"-";"-";"-";"-";"-";"<E>";" croire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"voir";"<E>";"<E>";"+";"-";"§croire§voir "
"66";"+";"-";"-";"-";"-";"-";"<E>";" croire";"-";"+";"-";"<E>";"<E>";"bien";"-";"-";"dire";"<E>";"<E>";"-";"-";"§croire§bien dire "
"67";"+";"-";"-";"-";"-";"-";"<E>";" croire";"-";"+";"-";"<E>";"<E>";"bien";"-";"-";"faire";"<E>";"<E>";"-";"-";"§croire§bien fait "
"68";"+";"-";"-";"-";"-";"-";"<E>";" croire";"-";"-";"-";"que";"<E>";"ce";"-";"-";"être";"<E>";"arrivé";"-";"-";"§croire§que c'est arrivé "
"69";"+";"-";"-";"-";"-";"+";"ne";" croire pas";"-";"+";"-";"<E>";"si";"bien";"-";"-";"dire";"<E>";"<E>";"-";"-";"§ne croire pas§si bien dire "
"70";"-";"+";"-";"-";"-";"-";"<E>";" croître";"-";"+";"-";"et";"<E>";"<E>";"-";"-";"embellir";"<E>";"<E>";"-";"-";"§croître§et embellir "
"71";"+";"-";"+";"-";"-";"-";"se";" demander";"-";"+";"-";"où";"<E>";"<E>";"-";"-";"passer";"le";"argent";"-";"-";"§se demander§où passer l'argent "
"72";"+";"-";"-";"-";"-";"-";"<E>";" demander";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"voir";"<E>";"<E>";"-";"-";"§demander§à voir "
"73";"+";"-";"-";"-";"-";"-";"<E>";" demander";"-";"-";"-";"à Nhum";"<E>";"qui";"+";"-";"être";"<E>";"qui";"-";"-";"§demander§à Nhum qui est qui "
"74";"+";"-";"-";"-";"-";"+";"ne";" demander que";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§ne demander que§à vivre "
"75";"+";"-";"-";"-";"-";"+";"ne";" demander que";"-";"+";"-";"à";"<E>";"se laisser";"-";"-";"convaincre";"par";"<E>";"+";"+";"§ne demander que§à se laisser convaincre par "
"76";"+";"-";"-";"-";"-";"-";"<E>";" dépenser";"+";"+";"-";"sans";"<E>";"<E>";"-";"-";"compter";"<E>";"<E>";"-";"-";"§dépenser§sans compter "
"77";"+";"-";"-";"-";"-";"-";"<E>";" désirerait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"y voir";"<E>";"<E>";"+";"-";"§désirerait§y voir "
"78";"+";"-";"-";"-";"-";"-";"<E>";" devoir";"-";"+";"-";"de";"<E>";"<E>";"+";"+";"rire";"ou";"pleurer";"-";"-";"§devoir§de rire ou pleurer "
"79";"+";"-";"-";"-";"-";"-";"<E>";" devoir";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"soigner";"<E>";"<E>";"-";"-";"§devoir§se fait soigner "
"80";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";"-";"+";"ce";"que";"il";"-";"-";"en être";"à";"<E>";"+";"-";"§dire§ce qu'il en est à "
"81";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";"-";"+";"ce que";"<E>";"Il-0";"-";"-";"pense";"<E>";"<E>";"-";"-";"§dire§ce qu'il pense "
"82";"+";"+";"-";"-";"-";"-";"<E>";" disparaître";"+";"+";"-";"sans";"<E>";"<E>";"-";"-";"laisser";"de";"traces";"-";"-";"§disparaître§sans laisser de traces "
"83";"+";"-";"-";"-";"-";"-";"<E>";" diviser";"+";"+";"-";"pour";"<E>";"<E>";"-";"-";"régner";"<E>";"<E>";"-";"-";"§diviser§pour régner "
"84";"+";"+";"-";"-";"-";"-";"<E>";" donner";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"réfléchir";"à";"<E>";"+";"-";"§donner§à réfléchir à "
"85";"+";"-";"+";"-";"-";"-";"s'";" écouter";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"<E>";"<E>";"-";"-";"§s'écouter§parler "
"86";"+";"+";"-";"-";"-";"-";"<E>";" empêcher";"-";"-";"-";"de";"<E>";"<E>";"+";"-";"danser";"en";"rond";"-";"-";"§empêcher§de danser en rond "
"87";"-";"+";"-";"-";"-";"+";"n'";" empêcher pas";"-";"-";"-";"de";"<E>";"<E>";"-";"-";"dormir";"<E>";"<E>";"+";"-";"§n'empêcher pas§de dormir "
"88";"+";"-";"+";"-";"-";"-";"s'";" ennuyer";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"crever";"<E>";"<E>";"-";"-";"§s'ennuyer§à crever "
"89";"+";"-";"+";"-";"-";"-";"s'";" ennuyer";"+";"-";"-";"à";"<E>";"<E>";"-";"-";"mourir";"<E>";"<E>";"-";"-";"§s'ennuyer§à mourir "
"90";"+";"-";"+";"-";"-";"-";"s'";" ennuyer";"+";"+";"-";"à";"<E>";"<E>";"-";"-";"périr";"<E>";"<E>";"-";"-";"§s'ennuyer§à périr "
"91";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"de";"<E>";"+";"+";"§entendre§parler de "
"92";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"de";"<E>";"+";"-";"§entendre§parler de "
"93";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"du";"pays";"-";"-";"§entendre§parler du pays "
"94";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"<E>";"<E>";"-";"-";"§entendre§parler "
"95";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"<E>";"<E>";"-";"-";"§entendre§parler "
"96";"+";"-";"-";"-";"-";"-";"<E>";" entendre";"-";"-";"-";"<E>";"une";"mouche";"-";"-";"voler";"<E>";"<E>";"-";"-";"§entendre§une mouche voler "
"97";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"balader";"<E>";"<E>";"-";"-";"§envoyer§balader "
"98";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"baller";"<E>";"<E>";"-";"-";"§envoyer§baller "
"99";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"bouler";"<E>";"<E>";"-";"-";"§envoyer§bouler "
"100";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"chier";"<E>";"<E>";"-";"-";"§envoyer§chier "
"101";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"+";"dinguer";"<E>";"<E>";"-";"-";"§envoyer§dinguer "
"102";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"paître";"<E>";"<E>";"-";"-";"§envoyer§paître "
"103";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"promener";"<E>";"<E>";"-";"-";"§envoyer§promener "
"104";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"se coucher";"<E>";"<E>";"-";"-";"§envoyer§se coucher "
"105";"+";"-";"-";"-";"-";"-";"<E>";" envoyer";"-";"-";"-";"<E>";"<E>";"<E>";"+";"+";"valser";"<E>";"<E>";"-";"-";"§envoyer§valser "
"106";"-";"+";"-";"-";"-";"-";"<E>";" être";"-";"+";"-";"à";"<E>";"<E>";"-";"-";"chier";"<E>";"partout";"-";"-";"§est§à chier partout "
