"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"1";"-";"+";"-";"-";"<E>";" être";"le";"a b c";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'a b c "
"2";"-";"+";"-";"-";"<E>";" être";"le";"ABC";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le ABC "
"3";"-";"+";"-";"-";"<E>";" être";"le";"abc";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'abc "
"4";"+";"+";"-";"-";"<E>";" être";"un";"abîme";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un abîme "
"5";"-";"+";"-";"-";"<E>";" être";"un";"abrégé";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§un abrégé "
"6";"-";"+";"-";"-";"<E>";" être";"une";"abréviation";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§une abréviation "
"7";"+";"-";"-";"-";"<E>";" être";"le grand";"absent";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le grand absent "
"8";"+";"-";"-";"-";"<E>";" être";"<E>";"acheteur";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§acheteur "
"9";"-";"+";"-";"-";"<E>";" être";"le Dnum-ième";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le Dnum-ième acte "
"10";"-";"+";"-";"-";"<E>";" être";"le dernier";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le dernier acte "
"11";"-";"+";"-";"-";"<E>";" être";"le premier";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le premier acte "
"12";"-";"+";"-";"-";"<E>";" être";"le second";"acte";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le second acte "
"13";"-";"+";"-";"-";"<E>";" être";"un";"acte";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un acte "
"14";"+";"-";"-";"-";"<E>";" être";"un";"adepte";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un adepte "
"15";"+";"-";"-";"-";"<E>";" être";"un";"adjoint";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adjoint "
"16";"+";"-";"-";"-";"<E>";" être";"un farouche";"adversaire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un farouche adversaire "
"17";"+";"-";"-";"-";"<E>";" être";"un";"adversaire";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adversaire "
"18";"+";"-";"-";"-";"<E>";" être";"un";"adversaire déclaré";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un adversaire déclaré "
"19";"-";"+";"-";"-";"<E>";" être";"<E>";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§affaire "
"20";"-";"+";"-";"-";"<E>";" être";"<E>";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§affaire "
"21";"-";"+";"-";"-";"<E>";" être";"la";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§l'affaire "
"22";"-";"+";"-";"-";"<E>";" être";"la";"affaire";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'affaire "
"23";"-";"+";"-";"-";"<E>";" être";"une";"affaire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une affaire "
"24";"+";"-";"-";"-";"<E>";" être";"la";"aile marchante";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'aile marchante "
"25";"+";"-";"-";"-";"<E>";" être";"le bien-";"aimé";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le bien-aimé "
"26";"+";"-";"-";"-";"<E>";" être";"le mal-";"aimé";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"§être§le mal-aimé "
"27";"+";"-";"-";"-";"<E>";" être";"le";"aîné";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§l'aîné "
"28";"+";"-";"-";"-";"<E>";" être";"bien";"aise";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"§être§bien aise "
"29";"+";"-";"-";"-";"<E>";" être";"fort";"aise";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"§être§fort aise "
"30";"+";"-";"-";"-";"<E>";" être";"le";"allié";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'allié "
"31";"+";"-";"-";"-";"<E>";" être";"un fidèle";"allié";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un fidèle allié "
"32";"-";"+";"-";"-";"<E>";" être";"le";"alpha et l'oméga";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§l'alpha et l'oméga "
"33";"+";"-";"-";"-";"<E>";" être";"<E>";"amateur";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§amateur "
"34";"+";"-";"-";"-";"<E>";" être";"la";"âme";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'âme "
"35";"+";"-";"-";"-";"<E>";" être";"la";"âme damnée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'âme damnée "
"36";"+";"-";"-";"-";"<E>";" être";"le meilleur";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le meilleur ami "
"37";"+";"-";"-";"-";"<E>";" être";"un grand";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un grand ami "
"38";"+";"-";"-";"-";"<E>";" être";"un petit";"ami";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§un petit ami "
"39";"+";"-";"-";"-";"<E>";" être";"un";"ami de longue date";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami de longue date "
"40";"+";"-";"-";"-";"<E>";" être";"un";"ami intime";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami intime "
"41";"+";"-";"-";"-";"<E>";" être";"un";"ami personnel";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un ami personnel "
"42";"+";"-";"-";"-";"<E>";" être";"la bonne";"amie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§la bonne amie "
"43";"+";"-";"-";"-";"<E>";" être";"le premier";"amour";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le premier amour "
"44";"+";"-";"-";"-";"<E>";" être";"le";"amour de la vie";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§l'amour de la vie "
"45";"-";"+";"-";"-";"<E>";" être";"le";"analogue";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'analogue "
"46";"-";"+";"-";"-";"<E>";" être";"le";"ancêtre";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'ancêtre "
"47";"+";"-";"-";"-";"<E>";" être";"le";"ancêtre";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"§être§l'ancêtre "
"48";"+";"-";"-";"-";"<E>";" être";"le mauvais";"ange";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le mauvais ange "
"49";"+";"-";"-";"-";"<E>";" être";"le";"ange gardien";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'ange gardien "
"50";"-";"+";"-";"-";"<E>";" être";"la";"année zéro";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§l'année zéro "
"51";"+";"-";"-";"-";"<E>";" être";"le";"antépénultième";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§l'antépénultième "
"52";"-";"+";"-";"-";"<E>";" être";"le";"antisymétrique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'antisymétrique "
"53";"-";"+";"-";"-";"<E>";" être";"la";"antithèse";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'antithèse "
"54";"-";"+";"-";"-";"<E>";" être";"le";"appartement natal";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§l'appartement natal "
"55";"+";"-";"-";"-";"<E>";" être";"le";"artisan";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§l'artisan "
"56";"+";"-";"-";"-";"<E>";" être";"le";"artisan de la gloire";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'artisan de la gloire "
"57";"+";"-";"-";"-";"<E>";" être";"le";"artisan du succès";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§l'artisan du succès "
"58";"+";"-";"-";"-";"<E>";" être";"le";"associé";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'associé "
"59";"+";"-";"-";"-";"<E>";" être";"un";"assortiment";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§un assortiment "
"60";"+";"-";"-";"-";"<E>";" être";"<E>";"auteur";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§auteur "
"61";"+";"-";"-";"-";"<E>";" être";"le";"auteur";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'auteur "
"62";"+";"-";"-";"-";"<E>";" être";"le";"auteur des jours";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§l'auteur des jours "
"63";"-";"+";"-";"-";"<E>";" être";"la";"autorité de tutelle";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'autorité de tutelle "
"64";"+";"+";"-";"-";"<E>";" être";"le dernier";"avatar";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"§être§le dernier avatar "
"65";"+";"-";"-";"-";"<E>";" être";"le";"avocat";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'avocat "
"66";"-";"+";"-";"-";"<E>";" être";"les grands";"axes";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§les grands axes "
"67";"-";"+";"-";"-";"<E>";" être";"le";"Baba";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le Baba "
"68";"+";"-";"-";"-";"<E>";" être";"le";"bailleur de fonds";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le bailleur de fonds "
"69";"+";"-";"-";"-";"<E>";" être";"une";"bande";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une bande "
"70";"-";"+";"-";"-";"<E>";" être";"la";"banlieue natale";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la banlieue natale "
"71";"-";"+";"-";"-";"<E>";" être";"un";"baromètre";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un baromètre "
"72";"-";"+";"-";"-";"<E>";" être";"la";"base";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la base "
"73";"-";"+";"-";"-";"<E>";" être";"une";"base";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une base "
"74";"-";"+";"-";"-";"<E>";" être";"le dernier";"bastion";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le dernier bastion "
"75";"-";"+";"-";"-";"<E>";" être";"un";"bastion";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un bastion "
"76";"-";"+";"-";"-";"<E>";" être";"le";"bâton de maréchal";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le bâton de maréchal "
"77";"+";"-";"-";"-";"<E>";" être";"le";"bâton de vieillesse";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bâton de vieillesse "
"78";"-";"+";"-";"-";"<E>";" être";"le";"béaba";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le béaba "
"79";"+";"-";"-";"-";"<E>";" être";"une";"beauté";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§être§une beauté "
"80";"-";"+";"-";"-";"<E>";" être";"le";"bébé";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le bébé "
"81";"+";"-";"-";"-";"<E>";" être";"le";"bébé";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le bébé "
"82";"+";"-";"-";"-";"<E>";" être";"un";"bénéficiaire";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"§être§un bénéficiaire "
"83";"+";"-";"-";"-";"<E>";" être";"le";"benjamin";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le benjamin "
"84";"-";"+";"-";"-";"<E>";" être";"le";"berceau";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le berceau "
"85";"+";"+";"-";"-";"<E>";" être";"la";"bête noire";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la bête noire "
"86";"+";"-";"-";"-";"<E>";" être";"un";"bienaimé";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un bienaimé "
"87";"-";"+";"-";"-";"<E>";" être";"le";"bonheur";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le bonheur "
"88";"+";"-";"-";"-";"<E>";" être";"le";"bouc émissaire";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bouc émissaire "
"89";"-";"+";"-";"-";"<E>";" être";"la";"branche armée";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la branche armée "
"90";"+";"-";"+";"-";"<E>";" être";"le";"bras";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le bras "
"91";"+";"-";"+";"-";"<E>";" être";"le";"bras armé";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bras armé "
"92";"+";"-";"+";"-";"<E>";" être";"le";"bras droit";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bras droit "
"93";"+";"-";"+";"-";"<E>";" être";"le";"bras séculier";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le bras séculier "
"94";"-";"+";"-";"-";"<E>";" être";"le";"cadavre";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"§être§le cadavre "
"95";"+";"-";"-";"-";"<E>";" être";"le";"cadet";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le cadet "
"96";"+";"+";"-";"-";"<E>";" être";"le";"cadet des soucis";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le cadet des soucis "
"97";"+";"-";"+";"-";"<E>";" être";"un";"caïd";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un caïd "
"98";"+";"-";"-";"-";"<E>";" être";"le dernier";"carré";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le dernier carré "
"99";"-";"+";"-";"-";"<E>";" être";"la";"carte maîtresse";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la carte maîtresse "
"100";"+";"+";"-";"-";"<E>";" être";"un";"cas";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un cas "
"101";"+";"+";"-";"-";"<E>";" être";"un";"cas particulier";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un cas particulier "
"102";"+";"+";"-";"-";"<E>";" être";"un";"cas unique";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un cas unique "
"103";"+";"+";"-";"-";"<E>";" être";"le";"cauchemar";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le cauchemar "
"104";"+";"+";"-";"-";"<E>";" être";"<E>";"cause";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§cause "
"105";"+";"+";"-";"-";"<E>";" être";"la";"cause";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§la cause "
"106";"-";"+";"-";"-";"<E>";" être";"la Dnum-ième";"cause";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la Dnum-ième cause "
"107";"-";"+";"-";"+";"n'";" être pas";"le";"centième";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§n'est pas§le centième "
"108";"-";"+";"-";"-";"<E>";" être";"le";"centre des préoccupation";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le centre des préoccupation "
"109";"-";"+";"-";"-";"<E>";" être";"le";"centre distributeur";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le centre distributeur "
"110";"-";"+";"-";"-";"<E>";" être";"le";"centre moteur";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le centre moteur "
"111";"-";"+";"-";"-";"<E>";" être";"le";"centre serveur";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le centre serveur "
"112";"-";"+";"-";"-";"<E>";" être";"le";"centuple";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le centuple "
"113";"+";"-";"+";"-";"<E>";" être";"le";"cerveau";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§le cerveau "
"114";"+";"-";"+";"-";"<E>";" être";"la";"chair de la chair";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la chair de la chair "
"115";"+";"-";"-";"-";"<E>";" être";"le";"champion";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"§être§le champion "
"116";"+";"-";"-";"-";"<E>";" être";"le";"champion de France";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le champion de France "
"117";"+";"-";"-";"-";"<E>";" être";"le";"champion du monde";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le champion du monde "
"118";"+";"+";"-";"-";"<E>";" être";"la";"chance";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la chance "
"119";"+";"+";"-";"-";"<E>";" être";"la dernière";"chance";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la dernière chance "
"120";"+";"+";"-";"-";"<E>";" être";"la seule";"chance";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la seule chance "
"121";"-";"+";"-";"-";"<E>";" être";"le";"chant du cygne";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le chant du cygne "
"122";"+";"-";"-";"-";"<E>";" être";"un";"chantre";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§un chantre "
"123";"+";"+";"-";"-";"<E>";" être";"une";"chasse gardée";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§une chasse gardée "
"124";"+";"-";"+";"-";"<E>";" être";"un";"chef";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un chef "
"125";"+";"-";"+";"-";"<E>";" être";"un grand";"chef";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un grand chef "
"126";"+";"-";"+";"-";"<E>";" être";"un";"chef de file";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un chef de file "
"127";"+";"-";"+";"-";"<E>";" être";"le";"chef direct";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le chef direct "
"128";"-";"+";"-";"-";"<E>";" être";"un";"chef d'oeuvre";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un chef d'oeuvre "
"129";"+";"-";"+";"-";"<E>";" être";"un";"chef historique";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un chef historique "
"130";"+";"-";"+";"-";"<E>";" être";"une";"cheftaine";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§une cheftaine "
"131";"-";"+";"-";"-";"<E>";" être";"le";"chemin de Damas";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le chemin de Damas "
"132";"+";"-";"-";"-";"<E>";" être";"le";"chéri";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le chéri "
"133";"-";"+";"-";"-";"<E>";" être";"le";"cheval de bataille";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le cheval de bataille "
"134";"-";"+";"-";"-";"<E>";" être";"le";"cheval de Troie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le cheval de Troie "
"135";"+";"-";"-";"-";"<E>";" être";"un";"chevalier servant";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§un chevalier servant "
"136";"+";"+";"-";"-";"<E>";" être";"la";"cheville ouvrière";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la cheville ouvrière "
"137";"+";"-";"-";"-";"<E>";" être";"<E>";"chiche";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"§être§chiche "
"138";"+";"-";"-";"-";"<E>";" être";"le";"chien fidèle";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le chien fidèle "
"139";"+";"-";"-";"-";"<E>";" être";"la";"chose";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la chose "
"140";"+";"-";"-";"-";"<E>";" être";"le";"chouchou";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le chouchou "
"141";"+";"+";"-";"-";"<E>";" être";"la";"cible";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la cible "
"142";"-";"+";"-";"-";"<E>";" être";"la";"clé";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la clé "
"143";"-";"+";"-";"-";"<E>";" être";"la";"clé de voûte";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la clé de voûte "
"144";"-";"+";"-";"-";"<E>";" être";"la";"clef";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la clef "
"145";"-";"+";"-";"-";"<E>";" être";"la";"clef de voûte";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la clef de voûte "
"146";"+";"+";"-";"-";"<E>";" être";"le";"clou";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le clou "
"147";"-";"+";"-";"-";"<E>";" être";"un";"cocktail";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un cocktail "
"148";"-";"+";"-";"-";"<E>";" être";"le";"coeur";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le coeur "
"149";"+";"-";"-";"-";"<E>";" être";"un proche";"collaborateur";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"§être§un proche collaborateur "
"150";"-";"+";"-";"-";"<E>";" être";"le";"comble";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le comble "
"151";"-";"+";"-";"-";"<E>";" être";"un";"composant";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un composant "
"152";"-";"+";"-";"-";"<E>";" être";"une";"composante";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une composante "
"153";"-";"+";"-";"-";"<E>";" être";"un";"composé";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un composé "
"154";"-";"+";"-";"-";"<E>";" être";"une";"composition";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une composition "
"155";"+";"-";"-";"-";"<E>";" être";"un";"concurrent";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un concurrent "
