"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"1";"+";"-";"-";"+";"-";"en";"être";"à";"le";"a b c";"-";"+";"-";"-";"-";"§en est§à l'a b c "
"2";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abord";"-";"+";"-";"+";"+";"§être§à l'abord "
"3";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abords";"-";"+";"-";"+";"+";"§être§à l'abords "
"4";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"aboutissement";"-";"+";"+";"+";"-";"§être§à l'aboutissement "
"5";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abri";"-";"+";"+";"-";"+";"§être§à l'abri "
"6";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abri";"-";"+";"-";"-";"-";"§être§à l'abri "
"7";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"accompagnement";"-";"+";"+";"-";"-";"§être§en accompagnement "
"8";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"accueil";"+";"-";"+";"-";"-";"§être§à l'accueil "
"9";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"achèvement";"-";"+";"+";"+";"-";"§être§à l'achèvement "
"10";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"acompte";"-";"+";"+";"-";"-";"§être§en acompte "
"11";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"acquisition";"-";"+";"-";"-";"-";"§être§en pleine acquisition "
"12";"+";"+";"-";"-";"-";"<E>";"être";"à";"le Dnum-ième";"acte";"-";"+";"+";"-";"+";"§être§au Dnum-ième acte "
"13";"+";"+";"-";"-";"-";"<E>";"être";"à";"le premier";"acte";"-";"+";"+";"-";"+";"§être§au premier acte "
"14";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein Dnum-ième";"acte";"-";"+";"+";"-";"+";"§être§en plein Dnum-ième acte "
"15";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein premier";"acte";"-";"+";"+";"-";"+";"§être§en plein premier acte "
"16";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"actif";"-";"+";"-";"+";"-";"§être§à l'actif "
"17";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"adresse";"+";"-";"-";"+";"-";"§être§à l'adresse "
"18";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"adresse";"+";"-";"-";"+";"-";"§être§à l'adresse "
"19";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"affiche";"-";"+";"+";"-";"-";"§être§à l'affiche "
"20";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"affleurement";"-";"+";"+";"+";"+";"§être§à l'affleurement "
"21";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"affût";"+";"+";"+";"-";"-";"§être§à l'affût "
"22";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"âge";"+";"-";"-";"+";"-";"§être§de l'âge "
"23";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"aile";"+";"-";"-";"+";"-";"§être§sous l'aile "
"24";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"aile protectrice";"+";"-";"-";"+";"-";"§être§sous l'aile protectrice "
"25";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"alentours";"-";"+";"-";"+";"+";"§être§aux alentours "
"26";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"amende";"-";"+";"+";"-";"-";"§être§à l'amende "
"27";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"amont";"-";"+";"+";"-";"+";"§être§en amont "
"28";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"amont";"-";"+";"+";"-";"-";"§être§en amont "
"29";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"amorce";"-";"+";"+";"-";"-";"§être§en amorce "
"30";"+";"+";"+";"-";"-";"<E>";"être";"à";"la";"amorce";"+";"-";"-";"+";"-";"§être§à l'amorce "
"31";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"amphi";"-";"+";"+";"-";"+";"§être§en amphi "
"32";"+";"+";"-";"-";"-";"<E>";"être";"dans";"Poss0 Dnum-ième";"année";"-";"+";"+";"-";"-";"§être§dans son Dnum-ième année "
"33";"-";"+";"+";"-";"-";"<E>";"être";"pour";"le";"anniversaire";"+";"+";"-";"+";"-";"§être§pour l'anniversaire "
"34";"-";"+";"-";"-";"-";"<E>";"être";"à";"six";"ans";"-";"+";"+";"-";"+";"§être§à six ans "
"35";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"antipodes";"-";"+";"-";"-";"+";"§être§aux antipodes "
"36";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"antipodes";"-";"+";"-";"-";"-";"§être§aux antipodes "
"37";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"antithèse";"-";"+";"-";"-";"-";"§être§à l'antithèse "
"38";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"aplomb";"-";"+";"+";"+";"+";"§être§à l'aplomb "
"39";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"apogée";"-";"+";"-";"+";"-";"§être§à l'apogée "
"40";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"apothéose";"-";"+";"-";"+";"-";"§être§à l'apothéose "
"41";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"application";"-";"+";"-";"+";"-";"§être§en application "
"42";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"appréciation";"+";"-";"-";"+";"-";"§être§à l'appréciation "
"43";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"approches";"-";"+";"-";"-";"+";"§être§aux approches "
"44";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"appui";"-";"+";"+";"-";"-";"§être§en appui "
"45";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"appui";"+";"+";"-";"+";"-";"§être§à l'appui "
"46";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"arbitrage";"+";"-";"+";"+";"-";"§être§à l'arbitrage "
"47";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"arrière";"+";"+";"+";"-";"+";"§être§en arrière "
"48";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"arrière";"-";"+";"+";"-";"+";"§être§à l'arrière "
"49";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"assaut";"+";"-";"-";"+";"-";"§être§sous l'assaut "
"50";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"attaques";"+";"-";"-";"+";"-";"§être§sous les attaques "
"51";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"attention";"+";"-";"-";"+";"-";"§être§à l'attention "
"52";"-";"+";"+";"-";"-";"<E>";"être";"à";"l'aimable";"attention";"+";"-";"-";"+";"-";"§être§à l'aimable attention "
"53";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"attributions";"+";"-";"-";"+";"-";"§être§dans les attributions "
"54";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"aube";"-";"+";"-";"+";"-";"§être§à l'aube "
"55";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"augmentation";"-";"+";"-";"-";"-";"§être§en augmentation "
"56";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"aune";"-";"+";"-";"+";"-";"§être§à l'aune "
"57";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"aval";"-";"+";"+";"-";"+";"§être§en aval "
"58";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"aval";"-";"+";"+";"-";"-";"§être§en aval "
"59";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"avant";"+";"+";"+";"-";"+";"§être§en avant "
"60";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"avant";"-";"+";"+";"-";"+";"§être§à l'avant "
"61";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"avantage";"+";"+";"-";"+";"-";"§être§à l'avantage "
"62";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"avènement";"-";"+";"-";"+";"-";"§être§à l'avènement "
"63";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"avis";"+";"-";"-";"+";"-";"§être§de l'avis "
"64";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"axe";"-";"+";"-";"+";"+";"§être§dans l'axe "
"65";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"axe de tir";"+";"-";"-";"+";"+";"§être§dans l'axe de tir "
"66";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"baie";"-";"+";"-";"-";"+";"§être§en baie "
"67";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"baisse";"-";"+";"-";"-";"-";"§être§en baisse "
"68";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"balcon";"+";"+";"-";"+";"+";"§être§au balcon "
"69";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"balcon";"+";"-";"-";"+";"+";"§être§sous le balcon "
"70";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"balcon";"+";"+";"-";"+";"+";"§être§sur le balcon "
"71";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"bande";"+";"-";"-";"+";"-";"§être§de la bande "
"72";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les plates-";"bandes";"+";"-";"-";"+";"+";"§être§sur les plates-bandes "
"73";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"baptême";"+";"-";"-";"+";"+";"§être§au baptême "
"74";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"-";"+";"+";"-";"+";"§être§en bas "
"75";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bas";"-";"+";"+";"-";"+";"§être§au bas "
"76";"+";"+";"-";"-";"-";"<E>";"être";"à";"le plus";"bas";"-";"+";"+";"-";"-";"§être§au plus bas "
"77";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"base";"-";"+";"-";"-";"-";"§être§à base "
"78";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"base";"-";"+";"-";"+";"-";"§être§à la base "
"79";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"basques";"+";"-";"-";"+";"-";"§être§aux basques "
"80";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"bénéfice";"+";"+";"-";"+";"-";"§être§au bénéfice "
"81";"-";"+";"+";"-";"-";"<E>";"être";"pour";"le";"bien";"-";"+";"-";"+";"-";"§être§pour le bien "
"82";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"bord";"-";"+";"-";"+";"-";"§être§à bord "
"83";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bord";"-";"+";"+";"-";"+";"§être§au bord "
"84";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"bord";"+";"-";"-";"+";"-";"§être§du bord "
"85";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"bord";"-";"+";"+";"-";"+";"§être§sur le bord "
"86";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bordure";"-";"+";"+";"-";"-";"§être§en bordure "
"87";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"bordure";"-";"+";"+";"-";"+";"§être§à la bordure "
"88";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"botte";"+";"-";"-";"+";"-";"§être§sous la botte "
"89";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bout";"-";"+";"-";"-";"+";"§être§en bout "
"90";"+";"+";"-";"-";"-";"<E>";"être";"à";"l'autre";"bout";"-";"+";"+";"-";"-";"§être§à l'autre bout "
"91";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bout";"-";"+";"+";"-";"+";"§être§au bout "
"92";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"bout";"-";"+";"+";"-";"-";"§être§au bout "
"93";"+";"+";"-";"-";"-";"<E>";"être";"à";"les deux";"bouts";"-";"+";"+";"-";"+";"§être§aux deux bouts "
"94";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"bras";"+";"-";"-";"+";"+";"§être§sous le bras "
"95";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"bras";"+";"-";"-";"+";"+";"§être§sur le bras "
"96";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"bras";"+";"-";"-";"+";"-";"§être§dans les bras "
"97";"-";"+";"-";"-";"-";"<E>";"être";"dans";"les";"bras";"+";"-";"-";"+";"+";"§être§dans les bras "
"98";"-";"+";"-";"-";"-";"<E>";"être";"sous";"les";"bras";"+";"-";"-";"+";"+";"§être§sous les bras "
"99";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"bras";"+";"-";"-";"+";"-";"§être§sur les bras "
"100";"-";"+";"-";"-";"-";"<E>";"être";"sur";"les";"bras";"+";"-";"-";"+";"+";"§être§sur les bras "
"101";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"bras droit";"+";"-";"-";"+";"+";"§être§sous le bras droit "
"102";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"bras droit";"+";"-";"-";"+";"+";"§être§sur le bras droit "
"103";"-";"+";"-";"-";"-";"<E>";"être";"sous";"le";"bras gauche";"+";"-";"-";"+";"+";"§être§sous le bras gauche "
"104";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"bras gauche";"+";"-";"-";"+";"+";"§être§sur le bras gauche "
"105";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"bretelles";"+";"-";"-";"+";"-";"§être§sur les bretelles "
"106";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"budget";"+";"+";"+";"+";"-";"§être§au budget "
"107";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"but";"-";"+";"-";"+";"-";"§être§au but "
"108";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"cadence";"+";"+";"-";"+";"-";"§être§à la cadence "
"109";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"calendrier";"+";"-";"-";"+";"-";"§être§au calendrier "
"110";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"calibre";"+";"-";"-";"+";"-";"§être§du calibre "
"111";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"canon";"+";"+";"+";"+";"-";"§être§sous le canon "
"112";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"canons";"+";"+";"+";"+";"-";"§être§sous les canons "
"113";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"carrefour";"-";"+";"+";"-";"+";"§être§au carrefour "
"114";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"carte";"-";"+";"+";"+";"-";"§être§à la carte "
"115";"-";"+";"-";"-";"-";"<E>";"être";"dans";"les";"cartons";"+";"-";"-";"+";"+";"§être§dans les cartons "
"116";"+";"+";"-";"-";"-";"<E>";"être";"de";"la";"catégorie";"+";"+";"-";"+";"-";"§être§de la catégorie "
"117";"+";"+";"-";"-";"-";"<E>";"être";"de";"la sous-";"catégorie";"+";"+";"-";"+";"-";"§être§de la sous-catégorie "
"118";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"caution";"-";"+";"+";"-";"-";"§être§en caution "
"119";"-";"+";"-";"-";"-";"<E>";"être";"sur";"la";"ceinture";"+";"-";"-";"+";"+";"§être§sur la ceinture "
"120";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"célébration";"-";"+";"-";"-";"-";"§être§en pleine célébration "
"121";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"célérité";"+";"+";"-";"+";"-";"§être§à la célérité "
"122";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"centre";"-";"+";"-";"+";"+";"§être§au centre "
"123";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"centre";"-";"+";"-";"-";"-";"§être§au centre "
"124";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"centre";"-";"+";"-";"+";"+";"§être§dans le centre "
"125";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"centre";"-";"+";"-";"-";"+";"§être§en plein centre "
"126";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"centre des préoccupations";"-";"+";"-";"-";"-";"§être§au centre des préoccupations "
"127";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"champ";"+";"+";"+";"+";"+";"§être§dans le champ "
"128";"+";"+";"-";"-";"-";"<E>";"être";"hors de";"le";"champ";"+";"+";"+";"+";"+";"§être§hors du champ "
"129";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"charge";"+";"-";"-";"+";"-";"§être§à la charge "
"130";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"charge";"+";"-";"-";"+";"-";"§être§à la charge "
"131";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"charme";"+";"+";"+";"+";"-";"§être§sous le charme "
"132";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"charme";"+";"+";"+";"+";"-";"§être§sous le charme "
"133";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"charnière";"-";"+";"-";"+";"+";"§être§à la charnière "
"134";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"chemin";"-";"+";"+";"+";"+";"§être§sur le chemin "
"135";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"chemin";"-";"+";"-";"-";"-";"§être§sur le chemin "
"136";"+";"+";"-";"-";"-";"<E>";"être";"à";"mi-";"chemin";"-";"+";"+";"-";"+";"§être§à mi-chemin "
"137";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"chevet";"+";"-";"-";"+";"+";"§être§au chevet "
"138";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"choc";"-";"+";"-";"-";"-";"§être§sous le choc "
"139";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"choix";"+";"-";"-";"+";"-";"§être§du choix "
"140";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"ciel";"-";"+";"+";"-";"+";"§être§dans le ciel "
"141";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"cîme";"-";"+";"-";"+";"+";"§être§à la cîme "
"142";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"cîté";"+";"+";"-";"-";"+";"§être§à cîté "
"143";"+";"+";"-";"-";"-";"<E>";"être";"de";"l'autre";"cîté";"-";"+";"-";"-";"+";"§être§de l'autre cîté "
"144";"+";"+";"-";"-";"-";"<E>";"être";"de";"le";"cîté";"-";"+";"-";"-";"+";"§être§du cîté "
"145";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"cîté";"+";"-";"-";"+";"-";"§être§du cîté "
"146";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"cîté";"-";"+";"-";"-";"+";"§être§sur le cîté "
"147";"+";"+";"-";"-";"-";"<E>";"être";"de";"le bon";"cîté";"-";"+";"+";"-";"-";"§être§du bon cîté "
"148";"+";"+";"-";"-";"-";"<E>";"être";"de";"le mauvais";"cîté";"-";"+";"+";"-";"-";"§être§du mauvais cîté "
"149";"+";"+";"-";"-";"-";"<E>";"être";"de";"un";"cîté";"-";"+";"+";"-";"-";"§être§d'un cîté "
"150";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"cîtés";"+";"-";"-";"+";"+";"§être§aux cîtés "
"151";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"clarté";"-";"+";"-";"-";"+";"§être§dans la clarté "
"152";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"clarté";"-";"+";"-";"-";"+";"§être§sous la clarté "
"153";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"classe";"-";"+";"+";"-";"+";"§être§en classe "
"154";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"classe";"+";"-";"-";"+";"-";"§être§de la classe "
"155";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"classe";"-";"+";"-";"+";"-";"§être§de la classe "
"156";"-";"+";"-";"-";"-";"<E>";"être";"de";"la sous-";"classe";"-";"+";"-";"+";"-";"§être§de la sous-classe "
"157";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"clîture";"-";"+";"-";"-";"-";"§être§en clîture "
"158";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"coeur";"-";"+";"-";"+";"+";"§être§au coeur "
"159";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"coeur";"-";"+";"-";"-";"-";"§être§au coeur "
"160";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"coeur";"-";"+";"-";"+";"-";"§être§dans le coeur "
"161";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"coeur";"-";"+";"-";"-";"+";"§être§en plein coeur "
"162";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"coin";"-";"+";"-";"-";"+";"§être§dans un coin "
"163";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"coin paumé";"-";"+";"-";"-";"+";"§être§dans un coin paumé "
"164";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"coin perdu";"-";"+";"-";"-";"+";"§être§dans un coin perdu "
"165";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"coin reculé";"-";"+";"-";"-";"+";"§être§dans un coin reculé "
"166";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"collimateur";"+";"-";"+";"+";"-";"§être§dans le collimateur "
"167";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"commandement";"+";"-";"-";"+";"-";"§être§sous commandement "
"168";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"commandement";"+";"-";"-";"+";"-";"§être§sous le commandement "
"169";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"commandes";"-";"+";"+";"+";"-";"§être§aux commandes "
"170";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"commencement";"-";"+";"-";"-";"-";"§être§en commencement "
"171";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"commencement";"-";"+";"+";"+";"-";"§être§au commencement "
"172";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"commotion";"-";"+";"-";"-";"-";"§être§sous la commotion "
"173";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"compagnie";"+";"-";"-";"-";"+";"§être§en compagnie "
"174";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"compagnie";"+";"-";"-";"+";"+";"§être§dans la compagnie "
"175";"+";"-";"-";"-";"-";"<E>";"être";"en";"la";"compagnie";"+";"-";"-";"+";"+";"§être§en la compagnie "
"176";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"compensation";"-";"+";"-";"-";"-";"§être§en compensation "
"177";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"compétence";"+";"-";"-";"+";"-";"§être§de la compétence "
"178";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"complément";"-";"+";"+";"-";"-";"§être§en complément "
"179";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"composition";"+";"-";"-";"+";"-";"§être§de la composition "
"180";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"compréhension";"+";"-";"-";"+";"-";"§être§de la compréhension "
"181";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"compte";"+";"-";"-";"+";"-";"§être§au compte "
"182";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"compte";"+";"-";"-";"+";"-";"§être§au compte "
"183";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"compte";"+";"-";"-";"+";"-";"§être§sur le compte "
"184";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"conclusion";"-";"+";"+";"-";"-";"§être§en conclusion "
"185";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"conclusion";"-";"+";"+";"+";"-";"§être§à la conclusion "
"186";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"concours";"-";"+";"-";"+";"-";"§être§au concours "
"187";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"conduite";"-";"+";"-";"+";"-";"§être§à la conduite "
"188";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"confins";"-";"+";"-";"+";"+";"§être§aux confins "
