"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"189";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"confluent";"-";"+";"+";"-";"+";"§être§au confluent "
"190";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"conquête";"-";"+";"-";"+";"-";"§être§à la conquête "
"191";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"consolation";"-";"+";"-";"-";"-";"§être§en consolation "
"192";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"contact";"+";"+";"-";"+";"+";"§être§au contact "
"193";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"contact";"-";"+";"-";"+";"-";"§être§au contact "
"194";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"continuation";"-";"+";"+";"-";"-";"§être§en continuation "
"195";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"contour";"-";"+";"-";"+";"+";"§être§sur le contour "
"196";"+";"-";"-";"-";"-";"<E>";"être";"sous";"<E>";"contrat";"+";"-";"+";"-";"-";"§être§sous contrat "
"197";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"contrebas";"-";"+";"+";"-";"+";"§être§en contrebas "
"198";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"contrîle";"+";"+";"-";"+";"-";"§être§sous le contrîle "
"199";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"convenance";"+";"-";"-";"+";"-";"§être§à la convenance "
"200";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"convenance";"+";"-";"-";"+";"-";"§être§au convenance "
"201";"-";"+";"+";"-";"-";"<E>";"être";"dans";"les";"cordes";"+";"-";"-";"+";"-";"§être§dans les cordes "
"202";"-";"+";"-";"-";"-";"<E>";"être";"autour de";"le";"cou";"+";"-";"-";"+";"+";"§être§autour du cou "
"203";"+";"+";"-";"-";"-";"<E>";"être";"à";"cent";"coudées au dessus";"+";"+";"+";"-";"-";"§être§à cent coudées au dessus "
"204";"+";"+";"-";"-";"-";"<E>";"être";"à";"dix";"coudées au dessus";"+";"+";"+";"-";"-";"§être§à dix coudées au dessus "
"205";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"couleurs";"+";"-";"-";"+";"-";"§être§aux couleurs "
"206";"-";"+";"-";"-";"-";"<E>";"être";"dans";"les";"coulisses";"-";"+";"-";"+";"-";"§être§dans les coulisses "
"207";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"-";"+";"-";"-";"-";"§être§sous le coup "
"208";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"coup";"-";"+";"-";"-";"-";"§être§sous le coup "
"209";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"coupe";"+";"+";"-";"+";"-";"§être§sous la coupe "
"210";"+";"+";"+";"-";"-";"<E>";"être";"à";"contre-";"courant";"-";"+";"+";"-";"-";"§être§à contre-courant "
"211";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"-";"+";"-";"-";"-";"§être§en cours "
"212";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"cours";"-";"+";"+";"-";"+";"§être§en cours "
"213";"+";"+";"-";"-";"-";"<E>";"être";"à";"mi-";"course";"-";"+";"+";"-";"+";"§être§à mi-course "
"214";"-";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"couvert";"+";"-";"-";"-";"-";"§être§sans couvert "
"215";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"couvert";"-";"+";"+";"-";"-";"§être§au couvert "
"216";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"couverture";"-";"+";"+";"-";"-";"§être§en couverture "
"217";"-";"+";"+";"-";"-";"<E>";"être";"sous";"la";"couverture";"+";"+";"-";"+";"-";"§être§sous la couverture "
"218";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"couverture";"-";"+";"+";"+";"+";"§être§sur la couverture "
"219";"+";"+";"-";"-";"-";"<E>";"être";"à";"dix";"crans au dessous";"+";"+";"+";"-";"-";"§être§à dix crans au dessous "
"220";"+";"+";"-";"-";"-";"<E>";"être";"à";"dix";"crans au dessus";"+";"+";"+";"-";"-";"§être§à dix crans au dessus "
"221";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"création";"+";"-";"-";"+";"-";"§être§de la création "
"222";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"crédit";"+";"-";"-";"+";"-";"§être§au crédit "
"223";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"crochets";"+";"-";"-";"+";"-";"§être§aux crochets "
"224";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"croisement";"-";"+";"+";"-";"+";"§être§au croisement "
"225";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"cru";"+";"-";"-";"+";"-";"§être§du cru "
"226";"+";"-";"-";"-";"-";"<E>";"être";"à";"mi-";"cuisson";"-";"+";"+";"-";"+";"§être§à mi-cuisson "
"227";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"début";"-";"+";"-";"-";"-";"§être§en début "
"228";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"début";"-";"+";"+";"+";"-";"§être§au début "
"229";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"deçà";"-";"+";"+";"-";"+";"§être§en deçà "
"230";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"deçà";"-";"+";"-";"-";"-";"§être§en deçà "
"231";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"deçà";"-";"+";"+";"-";"+";"§être§au deçà "
"232";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"deçà";"-";"+";"-";"-";"-";"§être§au deçà "
"233";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"deçà de la portée";"+";"+";"-";"+";"-";"§être§en deçà de la portée "
"234";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"deçà des moyens";"+";"+";"-";"-";"-";"§être§en deçà des moyens "
"235";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"deçà des possibilités";"+";"+";"-";"-";"-";"§être§en deçà des possibilités "
"236";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"décharge";"+";"-";"-";"+";"-";"§être§à la décharge "
"237";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"déclin";"-";"+";"+";"+";"-";"§être§au déclin "
"238";"+";"+";"-";"-";"-";"<E>";"être";"sous";"les";"décombres";"-";"+";"-";"+";"+";"§être§sous les décombres "
"239";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dedans";"-";"+";"-";"-";"+";"§être§en dedans "
"240";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dedans";"-";"+";"+";"-";"+";"§être§au dedans "
"241";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"défaveur";"+";"-";"-";"-";"-";"§être§en défaveur "
"242";"-";"+";"+";"-";"-";"<E>";"être";"en";"la";"défaveur";"+";"-";"-";"+";"-";"§être§en la défaveur "
"243";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"défense";"+";"+";"-";"+";"-";"§être§en défense "
"244";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"défense";"+";"-";"-";"+";"-";"§être§à la défense "
"245";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"déficit";"-";"+";"+";"-";"-";"§être§en déficit "
"246";"+";"+";"-";"-";"-";"<E>";"être";"à";"le dernier";"degré";"-";"+";"+";"-";"-";"§être§au dernier degré "
"247";"+";"+";"-";"-";"-";"<E>";"être";"à";"un haut";"degré";"-";"+";"+";"-";"-";"§être§à un haut degré "
"248";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"degré avancé";"-";"+";"+";"-";"-";"§être§à un degré avancé "
"249";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dehors";"-";"+";"-";"-";"+";"§être§en dehors "
"250";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dehors";"-";"+";"-";"-";"-";"§être§en dehors "
"251";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dehors";"-";"+";"+";"-";"+";"§être§au dehors "
"252";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dehors de la portée";"+";"+";"-";"+";"-";"§être§en dehors de la portée "
"253";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dehors des moyens";"+";"+";"-";"-";"-";"§être§en dehors des moyens "
"254";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"dehors des possibilités";"+";"+";"-";"-";"-";"§être§en dehors des possibilités "
"255";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"delà";"-";"+";"+";"-";"+";"§être§en delà "
"256";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"delà";"-";"+";"-";"-";"-";"§être§en delà "
"257";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"-";"+";"-";"-";"+";"§être§au delà "
"258";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"delà";"-";"+";"-";"-";"-";"§être§au delà "
"259";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"delà des moyens";"+";"+";"-";"-";"-";"§être§au delà des moyens "
"260";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"delà des possibilités";"+";"+";"-";"-";"-";"§être§au delà des possibilités "
"261";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"demande";"+";"-";"-";"+";"-";"§être§à la demande "
"262";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"démarrage";"-";"-";"+";"+";"-";"§être§au démarrage "
"263";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dénominateur";"-";"+";"-";"+";"+";"§être§au dénominateur "
"264";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dénouement";"-";"-";"+";"+";"-";"§être§au dénouement "
"265";"-";"+";"-";"-";"-";"<E>";"être";"entre";"les";"dents";"+";"-";"-";"+";"+";"§être§entre les dents "
"266";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"départ";"-";"+";"+";"+";"-";"§être§au départ "
"267";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"dépendance";"+";"-";"-";"+";"-";"§être§dans la dépendance "
"268";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"dépendance";"+";"+";"-";"+";"-";"§être§sous la dépendance "
"269";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"désavantage";"+";"+";"-";"+";"-";"§être§au désavantage "
"270";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"-";"+";"+";"-";"+";"§être§en dessous "
"271";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessous";"-";"+";"-";"-";"-";"§être§en dessous "
"272";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"-";"+";"+";"-";"+";"§être§au dessous "
"273";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessous";"-";"+";"-";"-";"-";"§être§au dessous "
"274";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"dessous des possibilités";"+";"+";"-";"-";"-";"§être§au dessous des possibilités "
"275";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"dessus";"-";"+";"-";"-";"-";"§être§en dessus "
"276";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"-";"+";"+";"-";"+";"§être§au dessus "
"277";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"dessus";"-";"+";"-";"-";"-";"§être§au dessus "
"278";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"dessus des forces";"-";"+";"-";"-";"+";"§être§au dessus des forces "
"279";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"dessus des moyens";"-";"+";"-";"-";"+";"§être§au dessus des moyens "
"280";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"dessus des possibilités";"-";"+";"-";"-";"-";"§être§au dessus des possibilités "
"281";"-";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"destination";"+";"-";"-";"-";"-";"§être§à destination "
"282";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"destination";"-";"+";"-";"+";"-";"§être§à destination "
"283";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"destination finale";"-";"+";"-";"+";"-";"§être§à destination finale "
"284";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"détour";"-";"+";"-";"-";"+";"§être§au détour "
"285";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"détriment";"+";"+";"-";"+";"-";"§être§au détriment "
"286";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"devant";"+";"-";"-";"-";"-";"§être§au devant "
"287";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"devant";"-";"+";"-";"-";"-";"§être§au devant "
"288";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"devanture";"-";"+";"+";"-";"+";"§être§à la devanture "
"289";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"devoir";"+";"-";"-";"+";"-";"§être§du devoir "
"290";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"dévotion";"+";"-";"-";"+";"-";"§être§à la dévotion "
"291";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"diapason";"+";"+";"-";"+";"-";"§être§au diapason "
"292";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"diligence";"+";"-";"-";"+";"-";"§être§à la diligence "
"293";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"dimension";"+";"+";"+";"+";"-";"§être§à la dimension "
"294";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"dimensions";"+";"+";"+";"+";"-";"§être§aux dimensions "
"295";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"diminution";"-";"+";"-";"-";"-";"§être§en diminution "
"296";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"direction";"-";"+";"-";"-";"+";"§être§en direction "
"297";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"direction";"-";"+";"-";"+";"+";"§être§à la direction "
"298";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"direction";"+";"-";"-";"+";"-";"§être§sous la direction "
"299";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"direction";"+";"-";"-";"+";"-";"§être§sous la direction "
"300";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la haute";"direction";"+";"-";"-";"+";"-";"§être§sous l'haute direction "
"301";"+";"-";"-";"-";"-";"<E>";"être";"à";"la sous-";"direction";"-";"+";"-";"-";"+";"§être§à la sous-direction "
"302";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"direction musicale";"+";"-";"-";"+";"-";"§être§sous la direction musicale "
"303";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"discrétion";"+";"-";"-";"+";"-";"§être§à la discrétion "
"304";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"disposition";"+";"-";"-";"+";"-";"§être§à la disposition "
"305";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"disposition";"+";"-";"-";"+";"-";"§être§à la disposition "
"306";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'entière";"disposition";"+";"-";"-";"+";"-";"§être§à l'entière disposition "
"307";"-";"+";"-";"-";"-";"<E>";"être";"à";"l'entière";"disposition";"+";"-";"-";"+";"-";"§être§à l'entière disposition "
"308";"+";"+";"-";"-";"-";"<E>";"être";"à";"bonne";"distance";"+";"+";"+";"-";"-";"§être§à bonne distance "
"309";"+";"+";"-";"-";"-";"<E>";"être";"à";"courte";"distance";"+";"+";"+";"-";"+";"§être§à courte distance "
"310";"+";"+";"-";"-";"-";"<E>";"être";"à";"faible";"distance";"+";"+";"+";"-";"+";"§être§à faible distance "
"311";"+";"+";"-";"-";"-";"<E>";"être";"à";"grande";"distance";"+";"+";"+";"-";"+";"§être§à grande distance "
"312";"+";"+";"-";"-";"-";"<E>";"être";"à";"mi-";"distance";"+";"+";"+";"-";"+";"§être§à mi-distance "
"313";"-";"+";"-";"-";"-";"<E>";"être";"à";"une certaine";"distance";"+";"+";"+";"-";"+";"§être§à une certaine distance "
"314";"-";"+";"-";"-";"-";"<E>";"être";"à";"une";"distance de Dnum N-mesure-de-longueur";"+";"+";"+";"-";"+";"§être§à une distance de Dnum N-mesure-de-longueur "
"315";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"distance respectueuse";"+";"+";"+";"-";"+";"§être§à distance respectueuse "
"316";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"domaine";"+";"-";"-";"+";"-";"§être§du domaine "
"317";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"domicile";"+";"-";"-";"+";"+";"§être§au domicile "
"318";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"domination";"+";"+";"-";"+";"-";"§être§sous la domination "
"319";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"dos";"+";"-";"-";"-";"-";"§être§à dos "
"320";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"dos";"-";"+";"+";"+";"+";"§être§au dos "
"321";"-";"+";"-";"-";"-";"<E>";"être";"dans";"le";"dos";"+";"-";"-";"+";"+";"§être§dans le dos "
"322";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"dos";"+";"-";"-";"+";"-";"§être§sur le dos "
"323";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"dos";"+";"-";"-";"+";"+";"§être§sur le dos "
"324";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"doublure";"-";"+";"+";"-";"-";"§être§en doublure "
"325";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"droite";"-";"+";"+";"-";"+";"§être§à droite "
"326";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"droite";"+";"-";"+";"-";"-";"§être§à droite "
"327";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"droite";"-";"+";"-";"+";"+";"§être§à la droite "
"328";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"droite";"+";"-";"-";"+";"-";"§être§à la droite "
"329";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"droite";"-";"+";"+";"-";"+";"§être§sur la droite "
"330";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"droite";"+";"-";"+";"-";"-";"§être§sur la droite "
"331";"+";"+";"-";"-";"-";"<E>";"être";"à";"l'extrême";"droite";"-";"+";"+";"-";"+";"§être§à l'extrême droite "
"332";"+";"-";"-";"-";"-";"<E>";"être";"à";"l'extrême";"droite";"+";"-";"+";"-";"-";"§être§à l'extrême droite "
"333";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"écart";"+";"+";"-";"-";"+";"§être§à l'écart "
"334";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"écart";"-";"+";"+";"-";"-";"§être§à l'écart "
"335";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"échelle";"+";"+";"+";"+";"-";"§être§à l'échelle "
"336";"+";"-";"-";"-";"-";"<E>";"être";"à";"le Dnum-ième";"échelon";"-";"+";"+";"+";"+";"§être§au Dnum-ième échelon "
"337";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"école";"+";"-";"-";"+";"-";"§être§à l'école "
"338";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"écrit";"-";"+";"-";"-";"-";"§être§à l'écrit "
"339";"+";"-";"-";"-";"-";"<E>";"être";"sous";"le";"effet";"-";"+";"-";"+";"-";"§être§sous l'effet "
"340";"+";"-";"-";"-";"-";"<E>";"être";"en";"plein";"effort";"-";"+";"+";"-";"-";"§être§en plein effort "
"341";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"égal";"+";"+";"-";"+";"-";"§être§à l'égal "
"342";"-";"+";"-";"-";"-";"<E>";"être";"de";"le sous-";"embranchement";"-";"+";"-";"+";"-";"§être§du sous-embranchement "
"343";"-";"+";"-";"-";"-";"<E>";"être";"de";"le";"embranchement";"-";"+";"-";"+";"-";"§être§de l'embranchement "
"344";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"embrasure";"-";"+";"+";"-";"+";"§être§dans l'embrasure "
"345";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"emploi du temps";"+";"-";"-";"+";"-";"§être§à l'emploi du temps "
"346";"+";"-";"-";"-";"-";"<E>";"être";"sous";"la";"emprise";"+";"+";"-";"+";"-";"§être§sous l'emprise "
"347";"+";"+";"-";"-";"-";"<E>";"être";"à";"quelques";"encablures";"+";"+";"+";"-";"+";"§être§à quelques encablures "
"348";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"endroit";"+";"-";"-";"+";"-";"§être§à l'endroit "
"349";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"endroit";"-";"+";"+";"+";"+";"§être§à l'endroit "
"350";"+";"+";"-";"-";"-";"<E>";"être";"à";"un certain";"endroit";"-";"+";"+";"-";"+";"§être§à un certain endroit "
"351";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"endroit perdu";"-";"+";"+";"-";"+";"§être§à un endroit perdu "
"352";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"endroit perdu";"-";"+";"+";"-";"+";"§être§dans un endroit perdu "
"353";"+";"+";"-";"-";"-";"<E>";"être";"en";"un";"endroit perdu";"-";"+";"+";"-";"+";"§être§en un endroit perdu "
"354";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"endroit précis";"-";"+";"+";"-";"+";"§être§à un endroit précis "
"355";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"endroit précis";"-";"+";"+";"-";"+";"§être§dans un endroit précis "
"356";"+";"+";"-";"-";"-";"<E>";"être";"en";"un";"endroit précis";"-";"+";"+";"-";"+";"§être§en un endroit précis "
"357";"+";"+";"-";"-";"-";"<E>";"être";"à";"un";"endroit reculé";"-";"+";"+";"-";"+";"§être§à un endroit reculé "
"358";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"endroit reculé";"-";"+";"+";"-";"+";"§être§dans un endroit reculé "
"359";"+";"+";"-";"-";"-";"<E>";"être";"en";"un";"endroit reculé";"-";"+";"+";"-";"+";"§être§en un endroit reculé "
"360";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"engrenage";"-";"+";"+";"+";"-";"§être§dans l'engrenage "
"361";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"enseigne";"-";"+";"-";"-";"-";"§être§à l'enseigne "
"362";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"enterrement";"+";"-";"-";"+";"+";"§être§à l'enterrement "
"363";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"entourage";"+";"-";"-";"+";"-";"§être§dans l'entourage "
"364";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"entourage";"+";"-";"-";"+";"-";"§être§dans l'entourage "
"365";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"entourage";"+";"-";"-";"+";"-";"§être§de l'entourage "
"366";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"entrée";"-";"+";"+";"-";"+";"§être§à l'entrée "
"367";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"envers";"-";"+";"+";"+";"+";"§être§à l'envers "
"368";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"environs";"-";"+";"+";"-";"+";"§être§aux environs "
"369";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"environs";"-";"+";"+";"+";"+";"§être§dans les environs "
"370";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"environs immédiats";"-";"+";"+";"-";"+";"§être§aux environs immédiats "
"371";"+";"+";"-";"-";"-";"<E>";"être";"dans";"les";"environs immédiats";"-";"+";"+";"+";"+";"§être§dans les environs immédiats "
