"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"1";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"la";"expérience";"-";"-";"§être§en accord avec l'expérience "
"2";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"les";"expériences";"-";"-";"§être§en accord avec les expériences "
"3";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"la";"expérimentation";"-";"-";"§être§en accord avec l'expérimentation "
"4";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"les";"observations";"-";"-";"§être§en accord avec les observations "
"5";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"anglais";"dans";"le";"texte";"-";"-";"§être§en anglais dans le texte "
"6";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"le";"déluge";"-";"-";"§être§d'après le déluge "
"7";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"<E>";"guerre";"-";"-";"§être§d'après guerre "
"8";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"la";"guerre";"-";"-";"§être§d'après la guerre "
"9";"+";"+";"-";"+";"n'";"être pas";"à";"<E>";"attraper";"avec";"des";"pincettes";"-";"-";"§n'est pas§à attraper avec des pincettes "
"10";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"Poss0";"âge";"-";"-";"§être§en avance sur son âge "
"11";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"le";"horaire";"-";"-";"§être§en avance sur l'horaire "
"12";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"Poss0";"temps";"-";"-";"§être§en avance sur son temps "
"13";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"avant";"<E>";"<E>";"guerre";"-";"-";"§être§d'avant guerre "
"14";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"avant";"<E>";"la";"guerre";"-";"-";"§être§d'avant la guerre "
"15";"+";"-";"-";"-";"<E>";"être";"dans";"la";"avenue";"<E>";"<E>";"Pasteur";"-";"+";"§être§dans l'avenue Pasteur "
"16";"+";"-";"-";"-";"<E>";"être";"dans";"la";"avenue";"<E>";"<E>";"X";"-";"+";"§être§dans l'avenue X "
"17";"+";"-";"-";"-";"<E>";"être";"dans";"le";"bain";"jusqu'à";"le";"cou";"-";"-";"§être§dans le bain jusqu'à le cou "
"18";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"bas";"à";"<E>";"droite";"+";"+";"§être§en bas à droite "
"19";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"bas";"à";"<E>";"gauche";"+";"+";"§être§en bas à gauche "
"20";"+";"+";"-";"-";"<E>";"être";"dans";"une";"boucle";"sans";"<E>";"fin";"-";"-";"§être§dans une boucle sans fin "
"21";"+";"-";"-";"-";"<E>";"être";"dans";"le";"boulevard";"<E>";"<E>";"Pasteur";"-";"+";"§être§dans le boulevard Pasteur "
"22";"+";"-";"-";"-";"<E>";"être";"dans";"le";"boulevard";"<E>";"<E>";"X";"-";"+";"§être§dans le boulevard X "
"23";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"butte";"à";"des";"tracasseries administratives";"-";"-";"§être§en butte à des tracasseries administratives "
"24";"+";"-";"-";"-";"<E>";"être";"à";"une";"cérémonie";"en";"le";"honneur de N";"-";"+";"§être§à une cérémonie en l'honneur de N "
"25";"+";"-";"-";"-";"<E>";"être";"à";"une";"cérémonie";"à";"la";"mémoire de N";"-";"+";"§être§à une cérémonie à la mémoire de N "
"26";"+";"-";"-";"-";"<E>";"être";"à";"la";"chasse";"à";"la";"baleine";"-";"-";"§être§à la chasse à la baleine "
"27";"+";"-";"-";"-";"<E>";"être";"à";"la";"chasse";"à";"le";"canard";"-";"-";"§être§à la chasse au canard "
"28";"+";"-";"-";"-";"<E>";"être";"à";"la";"chasse";"à";"le";"N-gibier";"+";"-";"§être§à la chasse au N-gibier "
"29";"+";"-";"-";"-";"<E>";"être";"à";"la";"chasse";"à";"le";"phoque";"-";"-";"§être§à la chasse au phoque "
"30";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"cheval";"sur";"la";"étiquette";"-";"-";"§être§à cheval sur l'étiquette "
"31";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"cheval";"sur";"les";"principes";"-";"-";"§être§à cheval sur les principes "
"32";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"cheval";"sur";"le";"règlement";"-";"-";"§être§à cheval sur le règlement "
"33";"+";"+";"-";"-";"<E>";"être";"par";"<E>";"ci";"par";"<E>";"là";"-";"+";"§être§par ci par là "
"34";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"colère";"après";"<E>";"Lui-0-même";"-";"-";"§être§en colère après lui-même "
"35";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"colère";"contre";"<E>";"Lui-0-même";"-";"-";"§être§en colère contre lui-même "
"36";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"colonnes";"par";"<E>";"deux";"-";"-";"§être§en colonnes par deux "
"37";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"colonnes";"par";"<E>";"Dnum";"-";"-";"§être§en colonnes par Dnum "
"38";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"colonnes";"par";"<E>";"quatre";"-";"-";"§être§en colonnes par quatre "
"39";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"colonnes";"par";"<E>";"trois";"-";"-";"§être§en colonnes par trois "
"40";"+";"+";"-";"-";"<E>";"être";"sur";"Dnum";"colonnes";"à";"la";"une";"-";"-";"§être§sur Dnum colonnes à l'une "
"41";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"congé";"pour";"<E>";"convenances personnelles";"-";"-";"§être§en congé pour convenances personnelles "
"42";"-";"+";"-";"-";"<E>";"être";"à";"<E>";"consommer";"avec";"<E>";"modération";"-";"-";"§être§à consommer avec modération "
"43";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"contrat";"à";"<E>";"durée déterminée";"-";"-";"§être§en contrat à durée déterminée "
"44";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"contrat";"à";"<E>";"durée déterminée";"-";"-";"§être§sous contrat à durée déterminée "
"45";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"contrat";"à";"<E>";"durée indéterminée";"-";"-";"§être§en contrat à durée indéterminée "
"46";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"contrat";"à";"<E>";"durée indéterminée";"-";"-";"§être§sous contrat à durée indéterminée "
"47";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"couper";"<E>";"le";"souffle";"-";"-";"§être§à couper le souffle "
"48";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"crise";"après";"<E>";"Lui-0-même";"-";"-";"§être§en crise après lui-même "
"49";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"crise";"contre";"<E>";"Lui-0-même";"-";"-";"§être§en crise contre lui-même "
"50";"-";"+";"-";"-";"<E>";"être";"à";"la";"croque";"à";"le";"sel";"-";"-";"§être§à la croque au sel "
"51";"+";"+";"-";"-";"<E>";"être";"dans";"un";"cycle";"sans";"<E>";"fin";"-";"-";"§être§dans un cycle sans fin "
"52";"+";"+";"-";"-";"<E>";"être";"par";"<E>";"delà";"<E>";"les";"apparences";"-";"-";"§être§par delà les apparences "
"53";"+";"+";"-";"-";"<E>";"être";"par";"<E>";"delà";"<E>";"les";"mers";"-";"-";"§être§par delà les mers "
"54";"-";"+";"-";"-";"<E>";"être";"par";"<E>";"delà";"<E>";"les";"siècles";"-";"-";"§être§par delà les siècles "
"55";"-";"+";"-";"-";"<E>";"être";"par";"<E>";"delà";"<E>";"le";"temps";"-";"-";"§être§par delà le temps "
"56";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"derrière";"<E>";"les";"fagots";"-";"-";"§être§de derrière les fagots "
"57";"+";"+";"-";"-";"<E>";"être";"par";"<E>";"dessus";"<E>";"le";"marché";"-";"-";"§être§par dessus le marché "
"58";"-";"+";"-";"-";"<E>";"être";"sans";"<E>";"distinction de race";"et";"de";"religion";"-";"-";"§être§sans distinction de race et de religion "
"59";"-";"+";"-";"-";"<E>";"être";"sans";"<E>";"distinction de race";"ni";"de";"religion";"-";"-";"§être§sans distinction de race ni de religion "
"60";"-";"+";"-";"-";"<E>";"être";"sans";"<E>";"distinction de race";"ou";"de";"religion";"-";"-";"§être§sans distinction de race ou de religion "
"61";"+";"+";"-";"-";"<E>";"être";"à";"<E>";"Dnum";"par";"<E>";"Nloc";"-";"-";"§être§à Dnum par Nloc "
"62";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"droite";"et à";"<E>";"gauche";"-";"+";"§être§à droite et à gauche "
"63";"+";"+";"-";"-";"<E>";"être";"à";"le";"étage";"à";"le";"dessous";"-";"+";"§être§à l'étage au dessous "
"64";"+";"+";"-";"-";"<E>";"être";"à";"le";"étage";"à";"le";"dessus";"-";"+";"§être§à l'étage au dessus "
"65";"+";"+";"+";"-";"<E>";"être";"à";"<E>";"faire";"<E>";"<E>";"dégueuler";"-";"-";"§être§à fait dégueuler "
"66";"-";"+";"+";"-";"<E>";"être";"à";"<E>";"faire";"<E>";"<E>";"peur";"-";"-";"§être§à fait peur "
"67";"+";"+";"+";"-";"<E>";"être";"à";"<E>";"faire";"<E>";"<E>";"vomir";"-";"-";"§être§à fait vomir "
"68";"-";"+";"+";"-";"<E>";"être";"à";"<E>";"faire rougir";"<E>";"un";"singe";"-";"-";"§être§à fait rougir un singe "
"69";"+";"-";"-";"-";"<E>";"être";"comme";"un";"fauve";"en";"<E>";"cage";"-";"-";"§être§comme un fauve en cage "
"70";"-";"+";"+";"-";"<E>";"être";"à";"<E>";"fendre";"<E>";"la";"âme";"-";"-";"§être§à fendre l'âme "
"71";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"fer";"à";"<E>";"cheval";"-";"-";"§être§en fer à cheval "
"72";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"feu";"ni";"<E>";"lieu";"-";"-";"§être§sans feu ni lieu "
"73";"-";"+";"-";"-";"<E>";"être";"à";"<E>";"feu";"et à";"<E>";"sang";"-";"-";"§être§à feu et à sang "
"74";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"foi";"ni";"<E>";"loi";"-";"-";"§être§sans foi ni loi "
"75";"+";"-";"-";"-";"<E>";"être";"de";"première";"force";"à";"les";"échecs";"-";"-";"§être§de première force aux échecs "
"76";"+";"-";"-";"-";"<E>";"être";"de";"première";"force";"à";"le";"N-jeu";"-";"-";"§être§de première force au N-jeu "
"77";"+";"-";"-";"-";"<E>";"être";"à";"le";"four";"et à";"le";"moulin";"-";"-";"§être§au four et au moulin "
"78";"+";"-";"-";"+";"n'";"être pas";"à";"le";"four";"et à";"le";"moulin";"-";"-";"§n'est pas§au four et au moulin "
"79";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"garde";"à";"<E>";"vue";"-";"-";"§être§en garde à vue "
"80";"+";"-";"-";"-";"<E>";"être";"à";"le";"garde-";"à-";"<E>";"vous";"-";"-";"§être§au garde-à-vous "
"81";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"haut";"à";"<E>";"droite";"+";"+";"§être§en haut à droite "
"82";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"haut";"à";"<E>";"gauche";"+";"+";"§être§en haut à gauche "
"83";"-";"+";"-";"-";"<E>";"être";"à";"la";"huile";"à";"le";"vinaigre";"-";"-";"§être§à l'huile au vinaigre "
"84";"+";"+";"-";"-";"<E>";"être";"à";"la";"île";"<E>";"<E>";"Maurice";"-";"-";"§être§à la île Maurice "
"85";"+";"+";"-";"-";"<E>";"être";"à";"la";"île";"<E>";"<E>";"N-île";"-";"-";"§être§à la île N-île "
"86";"+";"+";"-";"-";"<E>";"être";"à";"les";"îles";"<E>";"<E>";"Bahamas";"-";"-";"§être§aux îles Bahamas "
"87";"+";"+";"-";"-";"<E>";"être";"à";"les";"îles";"<E>";"<E>";"N-île";"-";"-";"§être§aux îles N-île "
"88";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"imitation";"<E>";"<E>";"bois";"-";"-";"§être§en imitation bois "
"89";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"imitation";"<E>";"<E>";"croco";"-";"-";"§être§en imitation croco "
"90";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"imitation";"<E>";"<E>";"daim";"-";"-";"§être§en imitation daim "
"91";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"imitation";"<E>";"<E>";"N-matière";"-";"-";"§être§en imitation N-matière "
"92";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"jour";"dans";"Poss0";"comptes";"-";"-";"§être§à jour dans ses comptes "
"93";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"liberté";"sous";"<E>";"caution";"-";"-";"§être§en liberté sous caution "
"94";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"ligne-";"depuis";"<E>";"Aix";"-";"-";"§être§en ligne-depuis Aix "
"95";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"ligne-";"depuis";"<E>";"N-ville";"-";"-";"§être§en ligne-depuis N-ville "
"96";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"location-";"<E>";"<E>";"vente";"-";"-";"§être§en location-vente "
"97";"+";"+";"-";"-";"<E>";"être";"à";"le";"marché";"à";"les";"puces";"-";"-";"§être§au marché aux puces "
"98";"+";"-";"-";"-";"<E>";"être";"entre";"le";"marteau";"et";"la";"enclume";"-";"-";"§être§entre le marteau et l'enclume "
"99";"+";"-";"-";"-";"<E>";"être";"dans";"la";"merde";"jusqu'à";"le";"cou";"-";"-";"§être§dans la merde jusqu'à le cou "
"100";"+";"-";"-";"-";"<E>";"être";"à";"une";"messe";"à";"la";"mémoire de N";"-";"+";"§être§à une messe à la mémoire de N "
"101";"+";"-";"-";"+";"n'";"être pas";"de";"le même";"milieu";"que";"<E>";"nous";"+";"-";"§n'est pas§du même milieu que nous "
